ko_number	description	group_lvl1	group_lvl2	reaction	reaction_name
K03639	"moaA, CNX2; GTP 3',8-cyclase [EC:4.1.99.22]"	moco_synthesis	moco_synthesis_1		
K20967	"MOCS1; GTP 3',8-cyclase / cyclic pyranopterin monophosphate synthase [EC:4.1.99.22 4.6.1.17]"	moco_synthesis	moco_synthesis_1		
K03637	"moaC, CNX3; cyclic pyranopterin monophosphate synthase [EC:4.6.1.17]"	moco_synthesis	moco_synthesis_2		
K20967	"MOCS1; GTP 3',8-cyclase / cyclic pyranopterin monophosphate synthase [EC:4.1.99.22 4.6.1.17]"	moco_synthesis	moco_synthesis_2		
K03635	"MOCS2B, moaE; molybdopterin synthase catalytic subunit [EC:2.8.1.12]"	moco_synthesis	moco_synthesis_3		
K21142	moaX; MoaE-MoaD fusion protein [EC:2.8.1.12]	moco_synthesis	moco_synthesis_3		
K03831	mogA; molybdopterin adenylyltransferase [EC:2.7.7.75]	moco_synthesis	moco_synthesis_4		
K03638	moaB; molybdopterin adenylyltransferase [EC:2.7.7.75]	moco_synthesis	moco_synthesis_4		
K15376	GPHN; gephyrin [EC:2.10.1.1 2.7.7.75]	moco_synthesis	moco_synthesis_4		
K15376	GPHN; gephyrin [EC:2.10.1.1 2.7.7.75]	moco_synthesis	moco_synthesis_5		
K03750	moeA; molybdopterin molybdotransferase [EC:2.10.1.1]	moco_synthesis	moco_synthesis_5		
K07141	mocA; molybdenum cofactor cytidylyltransferase [EC:2.7.7.76]	moco_synthesis	moco_synthesis_cyt		
K13818	mobAB; molybdopterin-guanine dinucleotide biosynthesis protein [EC:2.7.7.77]	moco_synthesis	moco_synthesis_guan		
K03752	mobA; molybdenum cofactor guanylyltransferase [EC:2.7.7.77]	moco_synthesis	moco_synthesis_guan		
K21142	moaX; MoaE-MoaD fusion protein [EC:2.8.1.12]	moco_synthesis	moco_synthesis_s1		
K03636	"moaD, cysO; sulfur-carrier protein"	moco_synthesis	moco_synthesis_s1		
K21232	"MOCS2A, CNXG; molybdopterin synthase sulfur carrier subunit"	moco_synthesis	moco_synthesis_s1		
K04487	"iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]"	moco_synthesis	moco_synthesis_s2		
K21028	ynjE; molybdopterin synthase sulfurtransferase [EC:2.8.1.11]	moco_synthesis	moco_synthesis_s2		
K11996	"MOCS3, UBA4; adenylyltransferase and sulfurtransferase [EC:2.7.7.80 2.8.1.11]"	moco_synthesis	moco_synthesis_s2		
K21029	moeB; molybdopterin-synthase adenylyltransferase [EC:2.7.7.80]	moco_synthesis	moco_synthesis_s3		
K21147	"moeZR, moeBR; sulfur-carrier protein adenylyltransferase/sulfurtransferase [EC:2.7.7.80 2.7.7.- 2.8.1.11 2.8.1.-]"	moco_synthesis	moco_synthesis_s3		
K15631	ABA3; molybdenum cofactor sulfurtransferase [EC:2.8.1.9]	moco_synthesis	moco_synthesis_thio		
K20625	ahy; acetylene hydratase [EC:4.2.1.112]	dmso_red_fam_a	ahy	R05380	acetaldehyde hydro-lyase
K08356	aoxB; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1]	dmso_red_fam_a	aox_arsenite	R09787	arsenite:cytochrome c oxidoreductase
K08351	bisC; biotin/methionine sulfoxide reductase [EC:1.-.-.-]	dmso_red_fam_a	bis	R10127	biotin:NADP+ S-oxidoreductase (biotin S-oxide-forming)
K16964	ddhA; dimethylsulfide dehydrogenase subunit alpha [EC:1.8.2.4]	dmso_red_fam_a	ddh		
K07306	dmsA; anaerobic dimethyl sulfoxide reductase subunit A [EC:1.8.5.3]	dmso_red_fam_a	dms		
K10700	ebdA; ethylbenzene hydroxylase subunit alpha [EC:1.17.99.2]	dmso_red_fam_a	ebd		
K22341	"fdhF2; formate dehydrogenase (NAD+, ferredoxin) subunit [EC:1.17.1.11]"	dmso_red_fam_a	fdh_nadferr		
K22516	fdhA; formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6]	dmso_red_fam_a	fdh_f420	R10797	
K22015	fdhF; formate dehydrogenase (hydrogenase) [EC:1.17.98.4 1.17.98.-]	dmso_red_fam_a	fdh_h	R12754	
K05299	fdhA; formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10]	dmso_red_fam_a	fdh_nadp	R00134	
K00123	"fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]"	dmso_red_fam_a	fdo_fdh_fdw_nad	R00519	
K08348	"fdnG; formate dehydrogenase-N, alpha subunit [EC:1.17.5.3]"	dmso_red_fam_a	fdn		
K18558	frdC; NADH-dependent fumarate reductase subunit C	dmso_red_fam_a	frd		
K00201	"fwdB, fmdB; formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]"	dmso_red_fam_a	fwd_fmd	R03015	formylmethanofuran:ferredoxin oxidoreductase
K02567	napA; nitrate reductase (cytochrome) [EC:1.9.6.1]	dmso_red_fam_a	nap		
K00367	narB; ferredoxin-nitrate reductase [EC:1.7.7.2]	dmso_red_fam_a	nar		
K00370	"narG, narZ, nxrA; nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]"	dmso_red_fam_a	nar_nxr		
K00372	"nasC, nasA; assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]"	dmso_red_fam_a	nas		
K03934	NDUFS1; NADH dehydrogenase (ubiquinone) Fe-S protein 1 [EC:7.1.1.2]	dmso_red_fam_a	ndufs		
K18361	padB; phenylacetyl-CoA:acceptor oxidoreductase [EC:1.17.5.1 3.1.2.25]	dmso_red_fam_a	pad		
K08352	"phsA, psrA; thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5]"	dmso_red_fam_a	phs_psr		
K23302	"qrcB; menaquinone reductase, molybdopterin-binding-like subunit"	dmso_red_fam_a	qrc		
K24713	s25dA; steroid C-25 hydroxylase alpha subunit [EC:1.17.99.10]	dmso_red_fam_a	s25d		
K17050	"serA, clrA; selenate/chlorate reductase subunit alpha [EC:1.97.1.9 1.97.1.1]"	dmso_red_fam_a	ser_clr		
K21307	soeA; sulfite dehydrogenase (quinone) subunit SoeA [EC:1.8.5.6]	dmso_red_fam_a	soe		
K17219	sreA; sulfur reductase molybdopterin subunit	dmso_red_fam_a	sre		
K07812	torZ; trimethylamine-N-oxide reductase (cytochrome c) [EC:1.7.2.3]	dmso_red_fam_a	torz		
K07811	torA; trimethylamine-N-oxide reductase (cytochrome c) [EC:1.7.2.3]	dmso_red_fam_a	tora		
K08357	ttrA; tetrathionate reductase subunit A	dmso_red_fam_a	ttr		
K07309	ynfE; Tat-targeted selenate reductase subunit YnfE [EC:1.97.1.9]	dmso_red_fam_a	ynf		
