genome_name	genome	taxonomy	temperature	oxygen	pH	habitat	habitat_diversity
Archaea_Crenarchaeota_Thermoprotei_Acidilobales_Acidilobaceae_Acidilobus_saccharovorans_345_15_chromosome	GCA_000144915.1	Crenarchaeota	82.99709796	anaerobe	5.974768	Hydrothermal	1.0
Archaea_Crenarchaeota_Thermoprotei_Acidilobales_Caldisphaeraceae_Caldisphaera_lagunensis_IC_154_DSM_15908	GCA_000317795.1	Crenarchaeota	71.67046366	anaerobe	7.1151953		
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Desulfurococcaceae_Desulfurococcus_fermentans_Z_1312_DSM_16532	GCA_000231015.3	Crenarchaeota	86.72577812	anaerobe	5.747674	Hydrothermal	2.0
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Desulfurococcaceae_Ignicoccus_hospitalis_KIN4I	GCA_000017945.1	Crenarchaeota	90.89494506	anaerobe	5.745729	Hydrothermal	1.0
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Desulfurococcaceae_Ignisphaera_aggregans_DSM_17230_chromosome	GCA_000145985.1	Crenarchaeota	93.00153162	anaerobe	6.1211867	Hydrothermal	2.0
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Desulfurococcaceae_Staphylothermus_hellenicus_DSM_12710_chromosome	GCA_000092465.1	Crenarchaeota	87.65652729	anaerobe	6.938265	Hydrothermal	1.0
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Desulfurococcaceae_Thermogladius_cellulolyticus_1633	GCA_000264495.1	Crenarchaeota	90.63701964	anaerobe	6.312608	Hydrothermal	1.0
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Desulfurococcaceae_Thermosphaera_aggregans_DSM_11486_chromosome	GCA_000092185.1	Crenarchaeota	81.58919002	anaerobe	5.395564	Hydrothermal	1.0
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Pyrodictiaceae_Hyperthermus_butylicus_DSM_5456	GCA_000015145.1	Crenarchaeota	98.35647315	anaerobe	6.542618	Hydrothermal	1.0
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Pyrodictiaceae_Pyrolobus_fumarii_1A_DSM_11204	GCA_000223395.1	Crenarchaeota	101.9458718	anaerobe	5.8648224	Hydrothermal	1.0
Archaea_Crenarchaeota_Thermoprotei_Fervidicoccales_Fervidicoccaceae_Fervidicoccus_fontis_Kam940	GCA_000258425.1	Crenarchaeota	78.26780595	anaerobe	6.2425685		
Archaea_Crenarchaeota_Thermoprotei_Sulfolobales_Sulfolobaceae_Acidianus_hospitalis_W1_chromosome	GCA_000213215.1	Crenarchaeota	75.50587995	anaerobe	6.7064066		
Archaea_Crenarchaeota_Thermoprotei_Sulfolobales_Sulfolobaceae_Metallosphaera_sedula_DSM_5348	GCA_000016605.1	Crenarchaeota	66.84681761	anaerobe	5.1266384		
Archaea_Crenarchaeota_Thermoprotei_Sulfolobales_Sulfolobaceae_Sulfolobus_solfataricus_P2	GCA_000007005.1	Crenarchaeota	73.91167736	anaerobe	6.309762		
Archaea_Crenarchaeota_Thermoprotei_Sulfolobales_Sulfolobales_archaeon_AZ1	GCA_000565255.1	Crenarchaeota	76.76158221	anaerobe	5.730396		
Archaea_Crenarchaeota_Thermoprotei_Thermoproteales_Thermofilaceae_Thermofilum_pendens_Hrk_5	GCA_000015225.1	Crenarchaeota	89.56331001	anaerobe	5.5540333	Freshwater	5.0
Archaea_Crenarchaeota_Thermoprotei_Thermoproteales_Thermoproteaceae_Caldivirga_maquilingensis_IC_167	GCA_000018305.1	Crenarchaeota	80.63734708	anaerobe	6.5534916	Hydrothermal	1.0
Archaea_Crenarchaeota_Thermoprotei_Thermoproteales_Thermoproteaceae_Thermoproteus_neutrophilus_V24Sta	GCA_000019805.1	Crenarchaeota	96.35643859	anaerobe	5.992332	Hydrothermal	3.0
Archaea_Crenarchaeota_Thermoprotei_Thermoproteales_Thermoproteaceae_Thermoproteus_uzoniensis_768_20_chromosome	GCA_000193375.1	Crenarchaeota	84.71422465	anaerobe	5.7588806	Hydrothermal	3.0
Archaea_Crenarchaeota_Thermoprotei_Thermoproteales_Thermoproteaceae_Vulcanisaeta_distributa_DSM_14429_chromosome	GCA_000148385.1	Crenarchaeota	93.38912553	anaerobe	6.609434	Hydrothermal	3.0
Archaea_DPANN_Diapherotrites_AR10_gwc2_scaffold_150	GCA_000830275.1	DPANN	55.70832038	anaerobe	6.062644		
Archaea_DPANN_Woesearchaeota_AR15_gwa2_scaffold_65	GCA_000830295.1	DPANN	42.04067446	anaerobe	5.9969535	Hydrothermal	1.0
Archaea_DPANN_Woesearchaeota_AR18_gwa2_scaffold_1772	GCA_000806155.1	DPANN	38.38072568	anaerobe	7.386809	Freshwater	1.0
Archaea_DPANN_Woesearchaeota_AR20_gwa2_scaffold_32	GCA_000830315.1	DPANN	34.31479309	anaerobe	6.281049		
Archaea_Euryarchaeota_Altiarchaeales_Altiarchaeum_hamiconexum	GCA_001742785.1	Euryarchaeota	52.08029511	anaerobe	6.74214		
Archaea_Euryarchaeota_Archaeoglobi_Archaeoglobales_Archaeoglobaceae_Archaeoglobus_fulgidus_DSM_8774	GCA_000008665.1	Euryarchaeota	84.45529382	anaerobe	5.8404408	Hydrothermal	2.0
Archaea_Euryarchaeota_Archaeoglobi_Archaeoglobales_Archaeoglobaceae_Ferroglobus_placidus_DSM_10642_chromosome	GCA_000025505.1	Euryarchaeota	92.33975404	anaerobe	7.0687513	Hydrothermal	2.0
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halalkalicoccus_jeotgali_B3_chromosome	GCA_000196895.1	Euryarchaeota	39.20655	aerobe	7.2762704		
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Haloarcula_marismortui_ATCC_43049	GCA_000011085.1	Euryarchaeota	35.4078869	anaerobe	5.320661	Saline	5.0
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halobacteriaceae_archaeon_G22	GCA_000495475.1	Euryarchaeota	38.26390088	anaerobe	5.7257404		
