event	left_node	right_node	left_date	right_date	midpoint_date
spe	515	514	2401.52	2299.515	2350.5175
hgt	None	dead	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0
los	None	dead	0.0	0.0	0.0
hgt	746	GCA.002238965.1.Bacteria.UBA8248	2548.44	0.0	1274.22
spe	514	513	2299.515	2253.55	2276.5325
spe	483	482	2221.01	2151.75	2186.38
los	483	482	2221.01	2151.75	2186.38
spe	447	439	2113.215	1983.035	2048.125
los	447	439	2113.215	1983.035	2048.125
spe	446	445	1951.09	1836.495	1893.7925
los	446	445	1951.09	1836.495	1893.7925
spe	513	512	2253.55	2172.63	2213.09
spe	511	510	2112.01	2056.505	2084.2575
los	511	510	2112.01	2056.505	2084.2575
spe	489	GCA.002701885.1.Bacteria.Proteobacteria	1797.555	0.0	898.7775
los	489	GCA.002701885.1.Bacteria.Proteobacteria	1797.555	0.0	898.7775
spe	512	486	2172.63	1956.2	2064.415
hgt	None	dead	0.0	0.0	0.0
los	486	GCA.002721365.1.Bacteria.Proteobacteria	1956.2	0.0	978.1
hgt	None	dead	0.0	0.0	0.0
los	None	dead	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0
los	None	dead	0.0	0.0	0.0
spe	514	436	2299.515	2217.14	2258.3275
hgt	None	dead	0.0	0.0	0.0
hgt	458	GCA.002340345.1.Bacteria.Proteobacteria	2053.74	0.0	1026.87
hgt	None	dead	0.0	0.0	0.0
los	None	dead	0.0	0.0	0.0
spe	436	435	2217.14	2071.245	2144.1925
spe	435	434	2071.245	1886.935	1979.09
hgt	434	GCA.002898275.1.Bacteria.Proteobacteria	1886.935	0.0	943.4675
los	434	GCA.002898275.1.Bacteria.Proteobacteria	1886.935	0.0	943.4675
hgt	832	GCA.002696345.1.Bacteria.Myxococcota	2268.205	0.0	1134.1025
hgt	None	dead	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0
los	None	dead	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0
hgt	513	512	2253.55	2172.63	2213.09
hgt	861	GCA.001304105.1.Bacteria.Desulfobacterota	2265.965	0.0	1132.9825
hgt	None	dead	0.0	0.0	0.0
los	None	dead	0.0	0.0	0.0
hgt	1158	GCF.001942305.1.Bacteria.Actinobacteriota	1386.605	0.0	693.3025
spe	513	512	2253.55	2172.63	2213.09
spe	511	510	2112.01	2056.505	2084.2575
los	511	510	2112.01	2056.505	2084.2575
spe	489	GCA.002701885.1.Bacteria.Proteobacteria	1797.555	0.0	898.7775
los	489	GCA.002701885.1.Bacteria.Proteobacteria	1797.555	0.0	898.7775
spe	512	486	2172.63	1956.2	2064.415
hgt	469	468	2003.935	1847.82	1925.8775
hgt	1140	GCA.002722565.1.Bacteria.Actinobacteriota	1795.075	0.0	897.5375
hgt	574	GCF.000374645.1.Bacteria.Proteobacteria	1962.545	0.0	981.2725
spe	469	468	2003.935	1847.82	1925.8775
spe	468	467	1847.82	1693.575	1770.6975
hgt	467	GCA.002291925.1.Bacteria.Proteobacteria	1693.575	0.0	846.7875
los	467	GCA.002291925.1.Bacteria.Proteobacteria	1693.575	0.0	846.7875
hgt	796	GCA.002238415.1.Bacteria.Desulfobacterota.B	2368.175	0.0	1184.0875
hgt	598	GCA.002292285.1.Bacteria.Proteobacteria	1497.41	0.0	748.705
dup	796	GCA.002238415.1.Bacteria.Desulfobacterota.B	2368.175	0.0	1184.0875
hgt	455	GCF.900102465.1.Bacteria.Proteobacteria	1531.25	0.0	765.625
hgt	None	dead	0.0	0.0	0.0
hgt	439	GCA.002723345.1.Bacteria.Proteobacteria	1983.035	0.0	991.5175
hgt	None	dead	0.0	0.0	0.0
los	None	dead	0.0	0.0	0.0
