event	left_node	right_node	left_date	right_date	midpoint_date
spe	1726	1725	3442.105	3410.995	3426.55
hgt	None	dead	0.0	0.0	0.0
spe	1725	1393	3410.995	3339.09	3375.0425
spe	1392	1391	3284.295	3133.07	3208.6825
los	1392	1391	3284.295	3133.07	3208.6825
hgt	None	dead	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0
los	None	dead	0.0	0.0	0.0
spe	1188	GCA.002779205.1.Bacteria.Actinobacteriota	3109.515	0.0	1554.7575
los	1188	GCA.002779205.1.Bacteria.Actinobacteriota	3109.515	0.0	1554.7575
spe	1187	1133	3068.88	2731.5	2900.19
los	1187	1133	3068.88	2731.5	2900.19
spe	1186	1136	3002.725	2691.07	2846.8975
los	1186	1136	3002.725	2691.07	2846.8975
spe	1186	1185	3002.725	2913.82	2958.2725
spe	1169	1145	2691.26	2458.975	2575.1175
los	1169	1145	2691.26	2458.975	2575.1175
hgt	None	dead	0.0	0.0	0.0
spe	1169	1168	2691.26	2631.565	2661.4125
spe	1148	GCA.003021615.1.Bacteria.Actinobacteriota	2328.75	0.0	1164.375
los	1148	GCA.003021615.1.Bacteria.Actinobacteriota	2328.75	0.0	1164.375
spe	1167	GCA.002413185.1.Bacteria.Actinobacteriota	2503.64	0.0	1251.82
los	1167	GCA.002413185.1.Bacteria.Actinobacteriota	2503.64	0.0	1251.82
spe	1166	1165	1991.825	1840.865	1916.345
los	1166	1165	1991.825	1840.865	1916.345
hgt	None	dead	0.0	0.0	0.0
los	None	dead	0.0	0.0	0.0
spe	1165	1164	1840.865	1690.82	1765.8425
spe	1163	GCA.001437855.1.Bacteria.Actinobacteriota	1488.035	0.0	744.0175
los	1163	GCA.001437855.1.Bacteria.Actinobacteriota	1488.035	0.0	744.0175
spe	1160	GCF.000015025.1.Bacteria.Actinobacteriota	1520.98	0.0	760.49
los	1160	GCF.000015025.1.Bacteria.Actinobacteriota	1520.98	0.0	760.49
spe	1160	1158	1520.98	1386.605	1453.7925
hgt	None	dead	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0
los	None	dead	0.0	0.0	0.0
spe	1155	1154	1711.135	1356.86	1533.9975
spe	1184	1183	2836.38	2457.105	2646.7425
los	1184	1183	2836.38	2457.105	2646.7425
spe	1180	1179	2587.79	2376.455	2482.1225
los	1180	1179	2587.79	2376.455	2482.1225
dup	1180	GCF.001029505.1.Bacteria.Actinobacteriota	2587.79	0.0	1293.895
hgt	None	dead	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0
los	None	dead	0.0	0.0	0.0
spe	1129	1101	3221.86	3151.28	3186.57
los	1129	1101	3221.86	3151.28	3186.57
spe	1129	1128	3221.86	3141.47	3181.665
hgt	None	dead	0.0	0.0	0.0
dup	None	dead	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0
los	None	dead	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0
los	None	dead	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0
los	None	dead	0.0	0.0	0.0
spe	1477	1476	3065.68	2948.885	3007.2825
spe	1454	1453	2633.59	2571.245	2602.4175
los	1454	1453	2633.59	2571.245	2602.4175
spe	1454	1446	2633.59	2467.265	2550.4275
spe	1446	1440	2467.265	2358.68	2412.9725
spe	1439	1438	2159.315	1986.755	2073.035
los	1439	1438	2159.315	1986.755	2073.035
hgt	None	dead	0.0	0.0	0.0
los	1446	1445	2467.265	2304.44	2385.8525
hgt	None	dead	0.0	0.0	0.0
los	None	dead	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0
los	None	dead	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0
los	None	dead	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0
dup	None	dead	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0
los	None	dead	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0
los	None	dead	0.0	0.0	0.0
dup	515	514	2401.52	2299.515	2350.5175
dup	515	514	2401.52	2299.515	2350.5175
dup	515	514	2401.52	2299.515	2350.5175
dup	515	514	2401.52	2299.515	2350.5175
dup	515	514	2401.52	2299.515	2350.5175
dup	515	514	2401.52	2299.515	2350.5175
spe	514	436	2299.515	2217.14	2258.3275
los	514	436	2299.515	2217.14	2258.3275
dup	514	513	2299.515	2253.55	2276.5325
dup	514	513	2299.515	2253.55	2276.5325
dup	514	513	2299.515	2253.55	2276.5325
spe	514	513	2299.515	2253.55	2276.5325
spe	512	486	2172.63	1956.2	2064.415
los	512	486	2172.63	1956.2	2064.415
spe	511	510	2112.01	2056.505	2084.2575
los	511	510	2112.01	2056.505	2084.2575
spe	489	GCA.002701885.1.Bacteria.Proteobacteria	1797.555	0.0	898.7775
los	489	GCA.002701885.1.Bacteria.Proteobacteria	1797.555	0.0	898.7775
