event	left_node	right_node	left_date	right_date	midpoint_date
spe	515	514	2002.575	1851.4	1926.9875
spe	436	GCA.002722885.1.Bacteria.Proteobacteria	1731.205	0.0	865.6025
los	436	GCA.002722885.1.Bacteria.Proteobacteria	1731.205	0.0	865.6025
spe	436	435	1731.205	1539.415	1635.31
spe	435	434	1539.415	1329.5	1434.4575
hgt	434	GCA.002898275.1.Bacteria.Proteobacteria	1329.5	0.0	664.75
los	434	GCA.002898275.1.Bacteria.Proteobacteria	1329.5	0.0	664.75
hgt	832	GCA.002696345.1.Bacteria.Myxococcota	1622.625	0.0	811.3125
hgt	612	GCF.003612015.1.Bacteria.Proteobacteria	1191.86	0.0	595.93
dup	514	513	1851.4	1786.09	1818.745
dup	514	513	1851.4	1786.09	1818.745
hgt	746	GCA.002238965.1.Bacteria.UBA8248	2036.715	0.0	1018.3575
spe	514	513	1851.4	1786.09	1818.745
spe	483	482	1736.705	1642.38	1689.5425
los	483	482	1736.705	1642.38	1689.5425
spe	447	439	1590.07	1430.985	1510.5275
los	447	439	1590.07	1430.985	1510.5275
spe	446	445	1389.555	1267.47	1328.5125
los	446	445	1389.555	1267.47	1328.5125
spe	513	512	1786.09	1671.055	1728.5725
spe	511	510	1589.625	1517.685	1553.655
los	511	510	1589.625	1517.685	1553.655
spe	489	GCA.002701885.1.Bacteria.Proteobacteria	1225.83	0.0	612.915
los	489	GCA.002701885.1.Bacteria.Proteobacteria	1225.83	0.0	612.915
spe	512	486	1671.055	1393.215	1532.135
hgt	None	dead	0.0	0.0	0.0
los	486	GCA.002721365.1.Bacteria.Proteobacteria	1393.215	0.0	696.6075
hgt	None	dead	0.0	0.0	0.0
los	None	dead	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0
los	None	dead	0.0	0.0	0.0
spe	514	513	1851.4	1786.09	1818.745
hgt	None	dead	0.0	0.0	0.0
hgt	861	GCA.001304105.1.Bacteria.Desulfobacterota	1645.455	0.0	822.7275
hgt	None	dead	0.0	0.0	0.0
los	None	dead	0.0	0.0	0.0
spe	1166	1165	1472.335	1325.685	1399.01
spe	1164	1163	1172.8835	995.9815	1084.4325
los	1164	1163	1172.8835	995.9815	1084.4325
spe	1160	GCF.000015025.1.Bacteria.Actinobacteriota	1016.58	0.0	508.29
los	1160	GCF.000015025.1.Bacteria.Actinobacteriota	1016.58	0.0	508.29
spe	1158	GCF.900106035.1.Bacteria.Actinobacteriota	905.248	0.0	452.624
los	1158	GCF.900106035.1.Bacteria.Actinobacteriota	905.248	0.0	452.624
spe	1155	1154	1195.766	907.0585	1051.41225
los	1155	1154	1195.766	907.0585	1051.41225
spe	513	512	1786.09	1671.055	1728.5725
spe	511	510	1589.625	1517.685	1553.655
los	511	510	1589.625	1517.685	1553.655
spe	489	GCA.002701885.1.Bacteria.Proteobacteria	1225.83	0.0	612.915
los	489	GCA.002701885.1.Bacteria.Proteobacteria	1225.83	0.0	612.915
spe	512	486	1671.055	1393.215	1532.135
hgt	469	468	1451.305	1270.185	1360.745
hgt	1140	GCA.002722565.1.Bacteria.Actinobacteriota	1211.153	0.0	605.5765
hgt	574	GCF.000374645.1.Bacteria.Proteobacteria	1374.275	0.0	687.1375
spe	469	468	1451.305	1270.185	1360.745
spe	468	467	1270.185	1108.71	1189.4475
hgt	467	GCA.002291925.1.Bacteria.Proteobacteria	1108.71	0.0	554.355
los	467	GCA.002291925.1.Bacteria.Proteobacteria	1108.71	0.0	554.355
hgt	796	GCA.002238415.1.Bacteria.Desulfobacterota.B	1757.055	0.0	878.5275
spe	513	483	1786.09	1736.705	1761.3975
spe	447	446	1590.07	1389.555	1489.8125
los	447	446	1590.07	1389.555	1489.8125
spe	439	GCF.001613805.1.Bacteria.Proteobacteria	1430.985	0.0	715.4925
los	439	GCF.001613805.1.Bacteria.Proteobacteria	1430.985	0.0	715.4925
spe	482	481	1642.38	1564.755	1603.5675
los	482	481	1642.38	1564.755	1603.5675
spe	458	GCA.002340345.1.Bacteria.Proteobacteria	1513.53	0.0	756.765
los	458	GCA.002340345.1.Bacteria.Proteobacteria	1513.53	0.0	756.765
spe	456	GCF.002148795.1.Bacteria.Proteobacteria	1329.135	0.0	664.5675
los	456	GCF.002148795.1.Bacteria.Proteobacteria	1329.135	0.0	664.5675
spe	455	454	974.476	839.502	906.989
los	455	454	974.476	839.502	906.989
dup	796	GCA.002238415.1.Bacteria.Desulfobacterota.B	1757.055	0.0	878.5275
hgt	498	GCA.002731375.1.Bacteria.Proteobacteria	1143.1505	0.0	571.57525
hgt	436	GCA.002722885.1.Bacteria.Proteobacteria	1731.205	0.0	865.6025
hgt	598	GCA.002292285.1.Bacteria.Proteobacteria	904.2135	0.0	452.10675
spe	513	512	1786.09	1671.055	1728.5725
los	513	512	1786.09	1671.055	1728.5725
spe	513	483	1786.09	1736.705	1761.3975
spe	447	439	1590.07	1430.985	1510.5275
los	447	439	1590.07	1430.985	1510.5275
spe	446	GCA.002717185.1.Bacteria.Proteobacteria	1389.555	0.0	694.7775
los	446	GCA.002717185.1.Bacteria.Proteobacteria	1389.555	0.0	694.7775
spe	445	GCA.002717225.1.Bacteria.Proteobacteria	1267.47	0.0	633.735
los	445	GCA.002717225.1.Bacteria.Proteobacteria	1267.47	0.0	633.735
spe	444	GCA.002686135.1.Bacteria.Proteobacteria	1089.937	0.0	544.9685
los	444	GCA.002686135.1.Bacteria.Proteobacteria	1089.937	0.0	544.9685
