event	left_node	right_node	left_date	right_date	midpoint_date
spe	1726	1725	3776.22	3726.035	3751.1275
hgt	None	dead	0.0	0.0	0.0
spe	1725	1393	3726.035	3573.7	3649.8675
spe	1392	1391	3456.59	3155.64	3306.115
los	1392	1391	3456.59	3155.64	3306.115
spe	1188	GCA.002779205.1.Bacteria.Actinobacteriota	3093.335	0.0	1546.6675
los	1188	GCA.002779205.1.Bacteria.Actinobacteriota	3093.335	0.0	1546.6675
hgt	None	dead	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0
los	None	dead	0.0	0.0	0.0
spe	1187	1133	3023.46	2425.095	2724.2775
los	1187	1133	3023.46	2425.095	2724.2775
spe	1186	1136	2887.55	2343.38	2615.465
los	1186	1136	2887.55	2343.38	2615.465
spe	1186	1185	2887.55	2722.52	2805.035
spe	1169	1145	2330.49	1977.205	2153.8475
los	1169	1145	2330.49	1977.205	2153.8475
hgt	None	dead	0.0	0.0	0.0
spe	1169	1168	2330.49	2240.195	2285.3425
spe	1148	GCA.003021615.1.Bacteria.Actinobacteriota	1798.435	0.0	899.2175
los	1148	GCA.003021615.1.Bacteria.Actinobacteriota	1798.435	0.0	899.2175
spe	1167	GCA.002413185.1.Bacteria.Actinobacteriota	2045.68	0.0	1022.84
los	1167	GCA.002413185.1.Bacteria.Actinobacteriota	2045.68	0.0	1022.84
spe	1166	1165	1407.48	1265.28	1336.38
los	1166	1165	1407.48	1265.28	1336.38
hgt	None	dead	0.0	0.0	0.0
los	None	dead	0.0	0.0	0.0
spe	1165	1164	1265.28	1123.5635	1194.42175
spe	1163	GCA.001437855.1.Bacteria.Actinobacteriota	951.694	0.0	475.847
los	1163	GCA.001437855.1.Bacteria.Actinobacteriota	951.694	0.0	475.847
spe	1160	GCF.000015025.1.Bacteria.Actinobacteriota	971.4955	0.0	485.74775
los	1160	GCF.000015025.1.Bacteria.Actinobacteriota	971.4955	0.0	485.74775
spe	1160	1158	971.4955	864.931	918.21325
hgt	1155	1154	1138.4215	863.8915	1001.1565
spe	1155	1154	1138.4215	863.8915	1001.1565
spe	1184	1183	2566.03	1976.055	2271.0425
los	1184	1183	2566.03	1976.055	2271.0425
spe	1180	1179	2135.205	1811.215	1973.21
los	1180	1179	2135.205	1811.215	1973.21
dup	1180	GCF.001029505.1.Bacteria.Actinobacteriota	2135.205	0.0	1067.6025
hgt	1158	GCF.001942305.1.Bacteria.Actinobacteriota	864.931	0.0	432.4655
spe	1129	1101	3300.21	3147.445	3223.8275
los	1129	1101	3300.21	3147.445	3223.8275
spe	1129	1128	3300.21	3110.52	3205.365
hgt	None	dead	0.0	0.0	0.0
hgt	1469	GCA.001898225.1.Bacteria.Chloroflexota	1899.175	0.0	949.5875
hgt	None	dead	0.0	0.0	0.0
los	None	dead	0.0	0.0	0.0
hgt	1477	1476	2951.08	2705.185	2828.1325
hgt	1406	GCA.002710215.1.Bacteria.Chloroflexota	1589.865	0.0	794.9325
hgt	None	dead	0.0	0.0	0.0
hgt	1228	GCA.003023725.1.Bacteria.Firmicutes.E	2160.575	0.0	1080.2875
hgt	None	dead	0.0	0.0	0.0
los	None	dead	0.0	0.0	0.0
spe	1338	1337	1582.81	1327.38	1455.095
hgt	1379	1355	1484.04	1246.46	1365.25
spe	1379	1355	1484.04	1246.46	1365.25
spe	1477	1476	2951.08	2705.185	2828.1325
spe	1454	1453	2138.89	2041.27	2090.08
los	1454	1453	2138.89	2041.27	2090.08
spe	1454	1446	2138.89	1892.56	2015.725
spe	1446	1440	1892.56	1749.24	1820.9
spe	1439	1438	1503.92	1310.445	1407.1825
los	1439	1438	1503.92	1310.445	1407.1825
hgt	1446	1445	1892.56	1683.66	1788.11
los	1446	1445	1892.56	1683.66	1788.11
hgt	400	GCA.002707655.1.Bacteria.SAR324	2337.685	0.0	1168.8425
hgt	515	514	1939.7	1792.55	1866.125
hgt	None	dead	0.0	0.0	0.0
hgt	574	GCF.000374645.1.Bacteria.Proteobacteria	1337.465	0.0	668.7325
