event	left_node	right_node	left_date	right_date	midpoint_date
spe	170	169	1645.265	1475.775	1560.52
spe	169	155	1475.775	1215.125	1345.45
hgt	155	GCF.000165345.1.Eukaryota.Apicocomplexa	1215.125	0.0	607.5625
los	155	GCF.000165345.1.Eukaryota.Apicocomplexa	1215.125	0.0	607.5625
spe	169	168	1475.775	1389.275	1432.525
spe	160	159	1269.475	1084.09	1176.7825
los	160	159	1269.475	1084.09	1176.7825
spe	168	167	1389.275	1219.565	1304.42
hgt	326	GCF.900129635.1.Bacteria.Planctomycetota	1208.648	0.0	604.324
spe	167	166	1219.565	946.8465	1083.20575
spe	166	165	946.8465	694.719	820.78275
hgt	160	GCA.015473125.1.Eukaryota.Viridiplantae	1269.475	0.0	634.7375
dup	166	GCA.000209225.1.Eukaryota.Cnidaria	946.8465	0.0	473.42325
dup	166	GCA.000209225.1.Eukaryota.Cnidaria	946.8465	0.0	473.42325
hgt	166	GCA.000209225.1.Eukaryota.Cnidaria	946.8465	0.0	473.42325
dup	167	GCA.000004985.1.Eukaryota.Heterolobosea	1219.565	0.0	609.7825
dup	167	GCA.000004985.1.Eukaryota.Heterolobosea	1219.565	0.0	609.7825
dup	167	GCA.000004985.1.Eukaryota.Heterolobosea	1219.565	0.0	609.7825
dup	166	GCA.000209225.1.Eukaryota.Cnidaria	946.8465	0.0	473.42325
