event	left_node	right_node	hgt_id	left_date	right_date	midpoint_date
spe	1046	902	NA	3288.18	3241.035	3264.6075
spe	902	390	NA	3241.035	3122.13	3181.5825
hgt origin	390	389	1: 389 to dead	3122.13	2948.12	3035.125
hgt	None	dead	1: 389 to dead	0.0	0.0	0.0
los	390	389	NA	3122.13	2948.12	3035.125
hgt origin	None	dead	2: dead to GCA.002327765.1.Bacteria.Desulfobacterota.E	0.0	0.0	0.0
hgt	846	GCA.002327765.1.Bacteria.Desulfobacterota.E	2: dead to GCA.002327765.1.Bacteria.Desulfobacterota.E	2541.4	0.0	1270.7
los	None	dead	NA	0.0	0.0	0.0
hgt origin	390	GCA.002780065.1.Bacteria.UBA8481	3: GCA.002780065.1.Bacteria.UBA8481 to dead	3122.13	0.0	1561.065
hgt	None	dead	3: GCA.002780065.1.Bacteria.UBA8481 to dead	0.0	0.0	0.0
hgt origin	None	dead	4: dead to GCA.003527405.1.Bacteria.Atribacterota	0.0	0.0	0.0
hgt	199	GCA.003527405.1.Bacteria.Atribacterota	4: dead to GCA.003527405.1.Bacteria.Atribacterota	2950.105	0.0	1475.0525
los	None	dead	NA	0.0	0.0	0.0
hgt origin	390	GCA.002780065.1.Bacteria.UBA8481	5: GCA.002780065.1.Bacteria.UBA8481 to dead	3122.13	0.0	1561.065
hgt	None	dead	5: GCA.002780065.1.Bacteria.UBA8481 to dead	0.0	0.0	0.0
hgt origin	None	dead	6: dead to GCA.002841695.1.Bacteria.Elusimicrobiota	0.0	0.0	0.0
hgt	241	GCA.002841695.1.Bacteria.Elusimicrobiota	6: dead to GCA.002841695.1.Bacteria.Elusimicrobiota	2226.475	0.0	1113.2375
los	None	dead	NA	0.0	0.0	0.0
spe	902	901	NA	3241.035	3194.215	3217.625
spe	901	663	NA	3194.215	3149.67	3171.9425
los	663	662	NA	3149.67	3108.12	3128.895
hgt origin	663	397	7: 397 to dead	3149.67	3038.98	3094.325
hgt	None	dead	7: 397 to dead	0.0	0.0	0.0
hgt origin	None	dead	8: dead to 861	0.0	0.0	0.0
hgt	862	861	8: dead to 861	2368.33	2265.965	2317.1475
los	None	dead	NA	0.0	0.0	0.0
spe	862	861	NA	2368.33	2265.965	2317.1475
hgt origin	861	GCA.002327985.1.Bacteria.Desulfobacterota	9: GCA.002327985.1.Bacteria.Desulfobacterota to dead	2265.965	0.0	1132.9825
hgt	None	dead	9: GCA.002327985.1.Bacteria.Desulfobacterota to dead	0.0	0.0	0.0
hgt origin	None	-1	10: -1 to GCA.000739515.1.Bacteria.Moduliflexota	0.0	0.0	0.0
hgt	895	GCA.000739515.1.Bacteria.Moduliflexota	10: -1 to GCA.000739515.1.Bacteria.Moduliflexota	2668.13	0.0	1334.065
hgt origin	None	dead	11: dead to GCA.001787855.1.Bacteria.Riflebacteria	0.0	0.0	0.0
hgt	188	GCA.001787855.1.Bacteria.Riflebacteria	11: dead to GCA.001787855.1.Bacteria.Riflebacteria	3243.0	0.0	1621.5
los	None	dead	NA	0.0	0.0	0.0
hgt origin	895	GCA.000739515.1.Bacteria.Moduliflexota	12: GCA.000739515.1.Bacteria.Moduliflexota to GCA.002328485.1.Bacteria.Desulfobacterota.G	2668.13	0.0	1334.065
hgt	801	GCA.002328485.1.Bacteria.Desulfobacterota.G	12: GCA.000739515.1.Bacteria.Moduliflexota to GCA.002328485.1.Bacteria.Desulfobacterota.G	2578.84	0.0	1289.42
spe	663	397	NA	3149.67	3038.98	3094.325
los	397	396	NA	3038.98	2831.62	2935.3
hgt origin	397	GCF.000526155.1.Bacteria.Desulfobacterota	13: GCF.000526155.1.Bacteria.Desulfobacterota to dead	3038.98	0.0	1519.49
