event	left_node	right_node	hgt_id	left_date	right_date	midpoint_date
spe	655	654	NA	3042.74	2959.21	3000.975
spe	654	653	NA	2959.21	2771.345	2865.2775
hgt origin	653	652	1: 652 to dead	2771.345	2671.985	2721.665
hgt	None	dead	1: 652 to dead	0.0	0.0	0.0
los	653	652	NA	2771.345	2671.985	2721.665
hgt origin	None	dead	2: dead to GCF.900112605.1.Bacteria.Proteobacteria	0.0	0.0	0.0
hgt	574	GCF.900112605.1.Bacteria.Proteobacteria	2: dead to GCF.900112605.1.Bacteria.Proteobacteria	1962.545	0.0	981.2725
los	None	dead	NA	0.0	0.0	0.0
hgt origin	654	520	3: 520 to dead	2959.21	2901.66	2930.435
hgt	None	dead	3: 520 to dead	0.0	0.0	0.0
hgt origin	None	dead	4: dead to GCA.002386945.1.Bacteria.Proteobacteria	0.0	0.0	0.0
hgt	558	GCA.002386945.1.Bacteria.Proteobacteria	4: dead to GCA.002386945.1.Bacteria.Proteobacteria	1998.285	0.0	999.1425
los	None	dead	NA	0.0	0.0	0.0
spe	654	520	NA	2959.21	2901.66	2930.435
spe	520	406	NA	2901.66	2769.905	2835.7825
hgt origin	406	GCF.002795805.1.Bacteria.Proteobacteria	5: GCF.002795805.1.Bacteria.Proteobacteria to 514	2769.905	0.0	1384.9525
hgt	515	514	5: GCF.002795805.1.Bacteria.Proteobacteria to 514	2401.52	2299.515	2350.5175
hgt origin	406	GCF.002795805.1.Bacteria.Proteobacteria	6: GCF.002795805.1.Bacteria.Proteobacteria to GCA.002348425.1.Bacteria.Proteobacteria	2769.905	0.0	1384.9525
hgt	444	GCA.002348425.1.Bacteria.Proteobacteria	6: GCF.002795805.1.Bacteria.Proteobacteria to GCA.002348425.1.Bacteria.Proteobacteria	1669.2	0.0	834.6
hgt origin	406	GCF.002795805.1.Bacteria.Proteobacteria	7: GCF.002795805.1.Bacteria.Proteobacteria to GCA.003228965.1.Bacteria.Proteobacteria	2769.905	0.0	1384.9525
hgt	586	GCA.003228965.1.Bacteria.Proteobacteria	7: GCF.002795805.1.Bacteria.Proteobacteria to GCA.003228965.1.Bacteria.Proteobacteria	1895.525	0.0	947.7625
los	406	GCF.002795805.1.Bacteria.Proteobacteria	NA	2769.905	0.0	1384.9525
hgt origin	515	514	8: 514 to dead	2401.52	2299.515	2350.5175
hgt	None	dead	8: 514 to dead	0.0	0.0	0.0
hgt origin	None	dead	9: dead to 456	0.0	0.0	0.0
