event	left_node	right_node	hgt_id	left_date	right_date	midpoint_date
hgt origin	652	651	1: 651 to 829	2671.985	2583.355	2627.67
hgt	839	829	1: 651 to 829	2599.34	2568.27	2583.805
hgt origin	652	651	2: 651 to GCA.002402105.1.Bacteria.UBP17	2671.985	2583.355	2627.67
hgt	183	GCA.002402105.1.Bacteria.UBP17	2: 651 to GCA.002402105.1.Bacteria.UBP17	3092.06	0.0	1546.03
hgt origin	652	651	3: 651 to dead	2671.985	2583.355	2627.67
hgt	None	dead	3: 651 to dead	0.0	0.0	0.0
spe	652	651	NA	2671.985	2583.355	2627.67
spe	651	650	NA	2583.355	2528.52	2555.9375
spe	650	536	NA	2528.52	2343.3	2435.91
hgt origin	536	GCF.002940605.1.Bacteria.Proteobacteria	4: GCF.002940605.1.Bacteria.Proteobacteria to GCA.002862435.1.Bacteria.Proteobacteria	2343.3	0.0	1171.65
hgt	568	GCA.002862435.1.Bacteria.Proteobacteria	4: GCF.002940605.1.Bacteria.Proteobacteria to GCA.002862435.1.Bacteria.Proteobacteria	2035.48	0.0	1017.74
los	536	GCF.002940605.1.Bacteria.Proteobacteria	NA	2343.3	0.0	1171.65
spe	650	649	NA	2528.52	2487.635	2508.0775
hgt origin	649	648	5: 648 to dead	2487.635	2440.92	2464.2775
hgt	None	dead	5: 648 to dead	0.0	0.0	0.0
los	649	648	NA	2487.635	2440.92	2464.2775
hgt origin	None	dead	6: dead to GCA.003137095.1.Bacteria.Proteobacteria	0.0	0.0	0.0
hgt	579	GCA.003137095.1.Bacteria.Proteobacteria	6: dead to GCA.003137095.1.Bacteria.Proteobacteria	1566.0	0.0	783.0
los	None	dead	NA	0.0	0.0	0.0
spe	649	543	NA	2487.635	2384.42	2436.0275
los	543	539	NA	2384.42	2248.565	2316.4925
spe	543	542	NA	2384.42	2266.915	2325.6675
los	542	GCA.002631715.1.Bacteria.Proteobacteria	NA	2266.915	0.0	1133.4575
hgt origin	651	533	7: 533 to GCA.003247575.1.Bacteria.Myxococcota.A	2583.355	2458.635	2520.995
hgt	804	GCA.003247575.1.Bacteria.Myxococcota.A	7: 533 to GCA.003247575.1.Bacteria.Myxococcota.A	2545.8	0.0	1272.9
spe	651	533	NA	2583.355	2458.635	2520.995
spe	533	529	NA	2458.635	2307.945	2383.29
los	529	GCA.002451085.1.Bacteria.Proteobacteria	NA	2307.945	0.0	1153.9725
spe	533	532	NA	2458.635	2186.645	2322.64
hgt origin	532	GCA.002405475.1.Bacteria.Proteobacteria	8: GCA.002405475.1.Bacteria.Proteobacteria to GCF.000374645.1.Bacteria.Proteobacteria	2186.645	0.0	1093.3225
hgt	574	GCF.000374645.1.Bacteria.Proteobacteria	8: GCA.002405475.1.Bacteria.Proteobacteria to GCF.000374645.1.Bacteria.Proteobacteria	1962.545	0.0	981.2725
los	532	GCA.002405475.1.Bacteria.Proteobacteria	NA	2186.645	0.0	1093.3225
hgt origin	804	GCA.003247575.1.Bacteria.Myxococcota.A	9: GCA.003247575.1.Bacteria.Myxococcota.A to GCA.002338605.1.Bacteria.Proteobacteria	2545.8	0.0	1272.9
