event	left_node	right_node	hgt_id	left_date	right_date	midpoint_date
hgt origin	1723	1722	1: 1722 to dead	3248.065	3101.365	3174.715
hgt	None	dead	1: 1722 to dead	0.0	0.0	0.0
dup	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	2: dead to GCA.002721815.1.Bacteria.Myxococcota	0.0	0.0	0.0
hgt	832	GCA.002721815.1.Bacteria.Myxococcota	2: dead to GCA.002721815.1.Bacteria.Myxococcota	2268.205	0.0	1134.1025
los	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	3: dead to GCA.002728755.1.Bacteria.Myxococcota	0.0	0.0	0.0
hgt	811	GCA.002728755.1.Bacteria.Myxococcota	3: dead to GCA.002728755.1.Bacteria.Myxococcota	2134.02	0.0	1067.01
los	None	dead	NA	0.0	0.0	0.0
hgt origin	1723	1722	4: 1722 to dead	3248.065	3101.365	3174.715
hgt	None	dead	4: 1722 to dead	0.0	0.0	0.0
hgt origin	None	dead	5: dead to GCA.002707085.1.Bacteria.Myxococcota.A	0.0	0.0	0.0
hgt	816	GCA.002707085.1.Bacteria.Myxococcota.A	5: dead to GCA.002707085.1.Bacteria.Myxococcota.A	2057.94	0.0	1028.97
los	None	dead	NA	0.0	0.0	0.0
spe	1723	1722	NA	3248.065	3101.365	3174.715
spe	1722	1721	NA	3101.365	3037.59	3069.4775
los	1721	1667	NA	3037.59	2851.115	2944.3525
spe	1721	1720	NA	3037.59	2606.445	2822.0175
spe	1720	1719	NA	2606.445	2506.285	2556.365
spe	1719	1718	NA	2506.285	2393.24	2449.7625
spe	1718	1717	NA	2393.24	2268.17	2330.705
los	1717	1716	NA	2268.17	2013.02	2140.595
spe	1718	1704	NA	2393.24	2299.84	2346.54
los	1704	1672	NA	2299.84	2154.84	2227.34
spe	1704	1703	NA	2299.84	2220.145	2259.9925
spe	1703	1679	NA	2220.145	2001.685	2110.915
spe	1679	1678	NA	2001.685	1122.4185	1562.05175
los	1678	1676	NA	1122.4185	295.292	708.85525
spe	1703	1702	NA	2220.145	2160.51	2190.3275
spe	1702	1701	NA	2160.51	2117.68	2139.095
los	1701	1700	NA	2117.68	2037.95	2077.815
spe	1701	1685	NA	2117.68	2011.14	2064.41
hgt origin	1685	1684	6: 1684 to dead	2011.14	1851.405	1931.2725
hgt	None	dead	6: 1684 to dead	0.0	0.0	0.0
hgt origin	None	dead	7: dead to 1697	0.0	0.0	0.0
hgt	1698	1697	7: dead to 1697	1629.64	1386.915	1508.2775
los	None	dead	NA	0.0	0.0	0.0
spe	1698	1697	NA	1629.64	1386.915	1508.2775
spe	1697	1695	NA	1386.915	955.3765	1171.14575
los	1695	Nostoc.sp.PCC7120	NA	955.3765	0.0	477.68825
spe	1685	1684	NA	2011.14	1851.405	1931.2725
hgt origin	1684	GCF.000316115.1.Bacteria.Cyanobacteria	8: GCF.000316115.1.Bacteria.Cyanobacteria to GCF.000317045.1.Bacteria.Cyanobacteria	1851.405	0.0	925.7025
hgt	1699	GCF.000317045.1.Bacteria.Cyanobacteria	8: GCF.000316115.1.Bacteria.Cyanobacteria to GCF.000317045.1.Bacteria.Cyanobacteria	1966.585	0.0	983.2925
hgt origin	1684	GCF.000316115.1.Bacteria.Cyanobacteria	9: GCF.000316115.1.Bacteria.Cyanobacteria to 1688	1851.405	0.0	925.7025
hgt	1700	1688	9: GCF.000316115.1.Bacteria.Cyanobacteria to 1688	2037.95	1799.565	1918.7575
spe	1700	1688	NA	2037.95	1799.565	1918.7575
hgt origin	1688	GCF.002215035.1.Bacteria.Cyanobacteria	10: GCF.002215035.1.Bacteria.Cyanobacteria to GCF.002251945.1.Bacteria.Cyanobacteria	1799.565	0.0	899.7825
hgt	1672	GCF.002251945.1.Bacteria.Cyanobacteria	10: GCF.002215035.1.Bacteria.Cyanobacteria to GCF.002251945.1.Bacteria.Cyanobacteria	2154.84	0.0	1077.42
hgt origin	1722	1664	11: 1664 to dead	3101.365	2826.835	2964.1
hgt	None	dead	11: 1664 to dead	0.0	0.0	0.0
hgt origin	None	dead	12: dead to 692	0.0	0.0	0.0
hgt	694	692	12: dead to 692	1909.495	1806.3	1857.8975
los	None	dead	NA	0.0	0.0	0.0
spe	694	692	NA	1909.495	1806.3	1857.8975
hgt origin	692	GCA.003140235.1.Bacteria.Acidobacteriota	13: GCA.003140235.1.Bacteria.Acidobacteriota to GCA.002686955.1.Bacteria.Gemmatimonadota.A	1806.3	0.0	903.15
hgt	1041	GCA.002686955.1.Bacteria.Gemmatimonadota.A	13: GCA.003140235.1.Bacteria.Acidobacteriota to GCA.002686955.1.Bacteria.Gemmatimonadota.A	2930.085	0.0	1465.0425
hgt origin	692	GCA.003140235.1.Bacteria.Acidobacteriota	14: GCA.003140235.1.Bacteria.Acidobacteriota to GCA.001800095.1.Bacteria.Elusimicrobiota	1806.3	0.0	903.15
hgt	244	GCA.001800095.1.Bacteria.Elusimicrobiota	14: GCA.003140235.1.Bacteria.Acidobacteriota to GCA.001800095.1.Bacteria.Elusimicrobiota	2178.39	0.0	1089.195
hgt origin	692	GCA.003140235.1.Bacteria.Acidobacteriota	15: GCA.003140235.1.Bacteria.Acidobacteriota to GCA.002404095.1.Bacteria.Planctomycetota	1806.3	0.0	903.15
hgt	326	GCA.002404095.1.Bacteria.Planctomycetota	15: GCA.003140235.1.Bacteria.Acidobacteriota to GCA.002404095.1.Bacteria.Planctomycetota	1901.84	0.0	950.92
hgt origin	326	GCA.002404095.1.Bacteria.Planctomycetota	16: GCA.002404095.1.Bacteria.Planctomycetota to GCA.002763895.1.Bacteria.Bacteroidota	1901.84	0.0	950.92
hgt	979	GCA.002763895.1.Bacteria.Bacteroidota	16: GCA.002404095.1.Bacteria.Planctomycetota to GCA.002763895.1.Bacteria.Bacteroidota	2181.785	0.0	1090.8925
hgt origin	1041	GCA.002686955.1.Bacteria.Gemmatimonadota.A	17: GCA.002686955.1.Bacteria.Gemmatimonadota.A to GCA.002898895.1.Bacteria.Armatimonadota	2930.085	0.0	1465.0425
hgt	1109	GCA.002898895.1.Bacteria.Armatimonadota	17: GCA.002686955.1.Bacteria.Gemmatimonadota.A to GCA.002898895.1.Bacteria.Armatimonadota	2582.96	0.0	1291.48
hgt origin	1041	GCA.002686955.1.Bacteria.Gemmatimonadota.A	18: GCA.002686955.1.Bacteria.Gemmatimonadota.A to GCF.001535965.1.Bacteria.Bacteroidota	2930.085	0.0	1465.0425
hgt	982	GCF.001535965.1.Bacteria.Bacteroidota	18: GCA.002686955.1.Bacteria.Gemmatimonadota.A to GCF.001535965.1.Bacteria.Bacteroidota	2450.7	0.0	1225.35
hgt origin	1041	GCA.002686955.1.Bacteria.Gemmatimonadota.A	19: GCA.002686955.1.Bacteria.Gemmatimonadota.A to GCF.900187885.1.Bacteria.Chloroflexota	2930.085	0.0	1465.0425
hgt	1439	GCF.900187885.1.Bacteria.Chloroflexota	19: GCA.002686955.1.Bacteria.Gemmatimonadota.A to GCF.900187885.1.Bacteria.Chloroflexota	2159.315	0.0	1079.6575
hgt origin	1109	GCA.002898895.1.Bacteria.Armatimonadota	20: GCA.002898895.1.Bacteria.Armatimonadota to GCF.000427095.1.Bacteria.Armatimonadota	2582.96	0.0	1291.48
hgt	1106	GCF.000427095.1.Bacteria.Armatimonadota	20: GCA.002898895.1.Bacteria.Armatimonadota to GCF.000427095.1.Bacteria.Armatimonadota	2220.8	0.0	1110.4
hgt origin	1722	1664	21: 1664 to dead	3101.365	2826.835	2964.1
hgt	None	dead	21: 1664 to dead	0.0	0.0	0.0
hgt origin	None	dead	22: dead to 1168	0.0	0.0	0.0
hgt	1169	1168	22: dead to 1168	2691.26	2631.565	2661.4125
los	None	dead	NA	0.0	0.0	0.0
spe	1169	1168	NA	2691.26	2631.565	2661.4125
spe	1168	1148	NA	2631.565	2328.75	2480.1575
los	1148	GCA.003021615.1.Bacteria.Actinobacteriota	NA	2328.75	0.0	1164.375
spe	1168	1167	NA	2631.565	2503.64	2567.6025
