event	left_node	right_node	left_date	right_date	midpoint_date
spe	1726	1725	3442.105	3410.995	3426.55
spe	1725	1724	3410.995	3346.625	3378.81
los	1724	1723	3346.625	3248.065	3297.345
spe	1724	1642	3346.625	3305.11	3325.8675
los	1642	1641	3305.11	3138.575	3221.8425
spe	1642	1478	3305.11	3178.32	3241.715
los	1478	1396	3178.32	2525.675	2851.9975
spe	1478	1477	3178.32	3065.68	3122.0
spe	1477	1431	3065.68	2900.705	2983.1925
los	1431	1430	2900.705	2636.055	2768.38
spe	1431	1427	2900.705	2775.63	2838.1675
los	1427	1413	2775.63	2608.425	2692.0275
spe	1427	1426	2775.63	2665.03	2720.33
los	1426	GCF.001953175.1.Bacteria.Chloroflexota	2665.03	0.0	1332.515
spe	1426	1425	2665.03	2515.535	2590.2825
los	1425	GCA.003229915.1.Bacteria.Chloroflexota	2515.535	0.0	1257.7675
spe	1425	1424	2515.535	2409.195	2462.365
spe	1424	1422	2409.195	2304.265	2356.73
los	1422	GCA.003484395.1.Bacteria.Chloroflexota	2304.265	0.0	1152.1325
spe	1422	1421	2304.265	2272.78	2288.5225
los	1421	GCA.002347295.1.Bacteria.Chloroflexota	2272.78	0.0	1136.39
spe	1421	1419	2272.78	2163.145	2217.9625
spe	1477	1476	3065.68	2948.885	3007.2825
dup	1476	1454	2948.885	2633.59	2791.2375
dup	1476	1454	2948.885	2633.59	2791.2375
spe	1476	1454	2948.885	2633.59	2791.2375
spe	1454	1446	2633.59	2467.265	2550.4275
los	1446	1440	2467.265	2358.68	2412.9725
spe	1446	1445	2467.265	2304.44	2385.8525
los	1445	1444	2304.44	2137.48	2220.96
spe	1454	1453	2633.59	2571.245	2602.4175
los	1453	1452	2571.245	2204.94	2388.0925
spe	1453	1449	2571.245	2414.175	2492.71
los	1449	GCA.002366595.1.Bacteria.Chloroflexota	2414.175	0.0	1207.0875
spe	1476	1454	2948.885	2633.59	2791.2375
los	1454	1453	2633.59	2571.245	2602.4175
spe	1454	1446	2633.59	2467.265	2550.4275
spe	1446	1440	2467.265	2358.68	2412.9725
los	1440	1439	2358.68	2159.315	2258.9975
spe	1446	1445	2467.265	2304.44	2385.8525
los	1445	GCA.003130875.1.Bacteria.Chloroflexota	2304.44	0.0	1152.22
spe	1445	1444	2304.44	2137.48	2220.96
los	1444	GCA.003451595.1.Bacteria.Chloroflexota	2137.48	0.0	1068.74
spe	1476	1454	2948.885	2633.59	2791.2375
hgt	1463	1457	2750.56	2476.295	2613.4275
spe	1454	1446	2633.59	2467.265	2550.4275
