event	left_node	right_node	left_date	right_date	midpoint_date
spe	92	91	2820.295	2456.155	2638.225
hgt	89	77	2018.03	1646.475	1832.2525
hgt	53	GCA.002011355.1.Archaea.Thermoplasmatota	1748.97	0.0	874.485
hgt	35	GCA.001587715.1.Archaea.Methanobacteriota.B	2647.665	0.0	1323.8325
spe	89	77	2018.03	1646.475	1832.2525
hgt	1133	GCA.002366545.1.Bacteria.Actinobacteriota	2467.96	0.0	1233.98
hgt	721	GCA.003230535.1.Bacteria.SZUA.182	2669.375	0.0	1334.6875
spe	91	90	2456.155	2213.885	2335.02
spe	90	74	2213.885	1964.425	2089.155
hgt	1058	GCA.001443005.1.Bacteria.Synergistota	2648.915	0.0	1324.4575
los	74	GCF.000194625.1.Archaea.Halobacteriota	1964.425	0.0	982.2125
hgt	38	GCF.002214485.1.Archaea.Methanobacteriota.B	2493.245	0.0	1246.6225
spe	90	89	2213.885	2018.03	2115.9575
spe	89	77	2018.03	1646.475	1832.2525
hgt	31	GCA.001723855.1.Archaea.Altiarchaeota	2674.29	0.0	1337.145
hgt	26	GCA.002083985.1.Archaea.Altiarchaeota	606.986	0.0	303.493
los	77	GCA.001766825.1.Archaea.Halobacteriota	1646.475	0.0	823.2375
hgt	32	26	3162.845	606.986	1884.9155
hgt	None	dead	0.0	0.0	0.0
hgt	86	GCA.001412335.1.Archaea.Halobacteriota	1547.845	0.0	773.9225
los	None	dead	0.0	0.0	0.0
spe	32	26	3162.845	606.986	1884.9155
spe	89	88	2018.03	1850.095	1934.0625
los	88	80	1850.095	1577.665	1713.88
spe	88	87	1850.095	1733.555	1791.825
hgt	113	GCA.002255025.1.Archaea.Thermoproteota	2111.275	0.0	1055.6375
hgt	1119	GCA.002779825.1.Bacteria.Armatimonadota	2017.9	0.0	1008.95
los	87	GCA.002256595.1.Archaea.Halobacteriota	1733.555	0.0	866.7775
hgt	1116	GCA.002898575.1.Bacteria.Armatimonadota	2382.81	0.0	1191.405
hgt	1449	GCA.002366595.1.Bacteria.Chloroflexota	1891.395	0.0	945.6975
hgt	1419	GCA.002367275.1.Bacteria.Chloroflexota	1560.275	0.0	780.1375
hgt	1424	GCA.002011475.1.Bacteria.Chloroflexota	1882.275	0.0	941.1375
hgt	877	GCF.000620765.1.Bacteria.Desulfobacterota.I	1826.365	0.0	913.1825
hgt	1292	GCF.000024605.1.Bacteria.Firmicutes.B	1962.37	0.0	981.185
hgt	861	GCA.001304105.1.Bacteria.Desulfobacterota	1645.455	0.0	822.7275
hgt	883	GCA.001751085.1.Bacteria.Desulfobacterota	1441.77	0.0	720.885
hgt	305	GCA.001803235.1.Bacteria.Verrucomicrobiota	1638.845	0.0	819.4225
hgt	1651	GCA.003242895.1.Bacteria.Margulisbacteria	2156.75	0.0	1078.375
hgt	140	GCF.000019605.1.Archaea.Thermoproteota	3044.4	0.0	1522.2
spe	87	86	1733.555	1547.845	1640.7
spe	86	84	1547.845	1360.205	1454.025
hgt	93	GCF.000025525.1.Archaea.Methanobacteriota.A	2978.785	0.0	1489.3925
los	84	GCF.000011005.1.Archaea.Euryarchaeota	1360.205	0.0	680.1025
hgt	108	GCF.000148385.1.Archaea.Thermoproteota	2228.635	0.0	1114.3175
