event	left_node	right_node	left_date	right_date	midpoint_date
spe	655	654	3023.71	2882.745	2953.2275
spe	654	653	2882.745	2568.17	2725.4575
los	653	652	2568.17	2398.805	2483.4875
hgt	None	dead	0.0	0.0	0.0
hgt	574	GCF.900112605.1.Bacteria.Proteobacteria	1374.275	0.0	687.1375
los	None	dead	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0
hgt	558	GCA.002386945.1.Bacteria.Proteobacteria	1422.015	0.0	711.0075
los	None	dead	0.0	0.0	0.0
spe	654	520	2882.745	2793.675	2838.21
spe	520	406	2793.675	2569.1	2681.3875
los	406	GCF.002795805.1.Bacteria.Proteobacteria	2569.1	0.0	1284.55
spe	520	519	2793.675	2628.48	2711.0775
spe	519	518	2628.48	2401.92	2515.2
los	518	GCA.002689455.1.Bacteria.Proteobacteria	2401.92	0.0	1200.96
hgt	None	dead	0.0	0.0	0.0
spe	518	517	2401.92	2211.17	2306.545
los	517	GCA.002937675.1.Bacteria.Proteobacteria	2211.17	0.0	1105.585
spe	517	516	2211.17	2128.885	2170.0275
los	516	428	2128.885	2006.63	2067.7575
hgt	None	dead	0.0	0.0	0.0
hgt	458	456	1513.53	1329.135	1421.3325
los	None	dead	0.0	0.0	0.0
spe	458	456	1513.53	1329.135	1421.3325
hgt	467	GCF.003258945.1.Bacteria.Proteobacteria	1108.71	0.0	554.355
spe	456	455	1329.135	974.476	1151.8055
spe	455	454	974.476	839.502	906.989
los	454	GCA.002709155.1.Bacteria.Proteobacteria	839.502	0.0	419.751
spe	454	453	839.502	720.6325	780.06725
los	453	GCA.002457765.1.Bacteria.Proteobacteria	720.6325	0.0	360.31625
spe	516	515	2128.885	2002.575	2065.73
los	515	GCA.002632265.1.Bacteria.Proteobacteria	2002.575	0.0	1001.2875
spe	515	514	2002.575	1851.4	1926.9875
spe	514	436	1851.4	1731.205	1791.3025
los	436	435	1731.205	1539.415	1635.31
spe	514	513	1851.4	1786.09	1818.745
los	513	483	1786.09	1736.705	1761.3975
spe	513	512	1786.09	1671.055	1728.5725
spe	512	486	1671.055	1393.215	1532.135
los	486	GCF.000264455.2.Bacteria.Proteobacteria	1393.215	0.0	696.6075
spe	512	511	1671.055	1589.625	1630.34
spe	511	489	1589.625	1225.83	1407.7275
los	489	GCA.002701885.1.Bacteria.Proteobacteria	1225.83	0.0	612.915
spe	511	510	1589.625	1517.685	1553.655
los	510	509	1517.685	1417.44	1467.5625
spe	510	492	1517.685	1247.39	1382.5375
hgt	453	GCA.002457765.1.Bacteria.Proteobacteria	720.6325	0.0	360.31625
hgt	634	GCF.001697225.1.Bacteria.Proteobacteria	1434.16	0.0	717.08
hgt	444	GCA.002348425.1.Bacteria.Proteobacteria	1089.937	0.0	544.9685
hgt	586	GCA.003228965.1.Bacteria.Proteobacteria	1290.345	0.0	645.1725
los	None	dead	0.0	0.0	0.0
hgt	1228	GCA.003023725.1.Bacteria.Firmicutes.E	2207.365	0.0	1103.6825
hgt	None	dead	0.0	0.0	0.0
hgt	1076	GCF.900142435.1.Bacteria.Aquificota	1449.05	0.0	724.525
los	None	dead	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0
hgt	386	GCA.002450905.1.Bacteria.Spirochaetota	2009.02	0.0	1004.51
los	None	dead	0.0	0.0	0.0
hgt	649	648	2098.245	2024.465	2061.355
hgt	603	GCA.002085445.1.Bacteria.Proteobacteria	1669.485	0.0	834.7425
spe	649	648	2098.245	2024.465	2061.355
hgt	None	dead	0.0	0.0	0.0
hgt	529	GCA.002451085.1.Bacteria.Proteobacteria	1818.925	0.0	909.4625
los	None	dead	0.0	0.0	0.0
spe	648	647	2024.465	1945.285	1984.875
spe	647	571	1945.285	1781.46	1863.3725
los	571	565	1781.46	1495.725	1638.5925
spe	571	570	1781.46	1624.36	1702.91
los	570	568	1624.36	1463.05	1543.705
spe	647	646	1945.285	1897.835	1921.56
los	646	588	1897.835	1783.48	1840.6575
spe	646	645	1897.835	1829.485	1863.66
los	645	631	1829.485	1750.855	1790.17
spe	645	644	1829.485	1683.9	1756.6925
los	644	643	1683.9	1502.7	1593.3
spe	644	636	1683.9	1603.01	1643.455
spe	636	634	1603.01	1434.16	1518.585
los	634	GCF.001697225.1.Bacteria.Proteobacteria	1434.16	0.0	717.08
spe	648	562	2024.465	1860.4	1942.4325
spe	562	546	1860.4	1496.095	1678.2475
los	546	GCA.002747435.1.Bacteria.Proteobacteria	1496.095	0.0	748.0475
spe	562	561	1860.4	1784.925	1822.6625
los	561	553	1784.925	1630.725	1707.825
hgt	None	dead	0.0	0.0	0.0
hgt	565	GCF.002958735.1.Bacteria.Proteobacteria	1495.725	0.0	747.8625
los	None	dead	0.0	0.0	0.0
spe	561	560	1784.925	1588.3	1686.6125
los	560	558	1588.3	1422.015	1505.1575
