event	left_node	right_node	hgt_id	left_date	right_date	midpoint_date
hgt origin	652	651	1: 651 to dead	2398.805	2255.845	2327.325
hgt	None	dead	1: 651 to dead	0.0	0.0	0.0
hgt origin	None	dead	2: dead to 495	0.0	0.0	0.0
hgt	509	495	2: dead to 495	1417.44	1152.21	1284.825
los	None	dead	NA	0.0	0.0	0.0
spe	509	495	NA	1417.44	1152.21	1284.825
hgt origin	495	GCA.002796975.1.Bacteria.Proteobacteria	3: GCA.002796975.1.Bacteria.Proteobacteria to dead	1152.21	0.0	576.105
hgt	None	dead	3: GCA.002796975.1.Bacteria.Proteobacteria to dead	0.0	0.0	0.0
hgt origin	None	dead	4: dead to GCF.003052605.1.Bacteria.Proteobacteria	0.0	0.0	0.0
hgt	611	GCF.003052605.1.Bacteria.Proteobacteria	4: dead to GCF.003052605.1.Bacteria.Proteobacteria	907.6015	0.0	453.80075
los	None	dead	NA	0.0	0.0	0.0
hgt origin	495	GCF.003173035.1.Bacteria.Proteobacteria	5: GCF.003173035.1.Bacteria.Proteobacteria to dead	1152.21	0.0	576.105
hgt	None	dead	5: GCF.003173035.1.Bacteria.Proteobacteria to dead	0.0	0.0	0.0
hgt origin	None	dead	6: dead to GCF.002251795.1.Bacteria.Proteobacteria	0.0	0.0	0.0
hgt	463	GCF.002251795.1.Bacteria.Proteobacteria	6: dead to GCF.002251795.1.Bacteria.Proteobacteria	1313.945	0.0	656.9725
los	None	dead	NA	0.0	0.0	0.0
hgt origin	495	GCF.003173035.1.Bacteria.Proteobacteria	7: GCF.003173035.1.Bacteria.Proteobacteria to dead	1152.21	0.0	576.105
hgt	None	dead	7: GCF.003173035.1.Bacteria.Proteobacteria to dead	0.0	0.0	0.0
dup	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	8: dead to GCA.002457765.1.Bacteria.Proteobacteria	0.0	0.0	0.0
hgt	453	GCA.002457765.1.Bacteria.Proteobacteria	8: dead to GCA.002457765.1.Bacteria.Proteobacteria	720.6325	0.0	360.31625
los	None	dead	NA	0.0	0.0	0.0
dup	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	9: dead to GCF.900172325.1.Bacteria.Proteobacteria	0.0	0.0	0.0
hgt	492	GCF.900172325.1.Bacteria.Proteobacteria	9: dead to GCF.900172325.1.Bacteria.Proteobacteria	1247.39	0.0	623.695
los	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	10: dead to GCF.001613805.1.Bacteria.Proteobacteria	0.0	0.0	0.0
hgt	439	GCF.001613805.1.Bacteria.Proteobacteria	10: dead to GCF.001613805.1.Bacteria.Proteobacteria	1430.985	0.0	715.4925
los	None	dead	NA	0.0	0.0	0.0
