event	left_node	right_node	left_date	right_date	midpoint_date
spe	1728	1727	0.0	3797.955	1898.9775
spe	1727	189	3797.955	3564.735	3681.345
los	189	185	3564.735	3376.945	3470.84
hgt	None	dead	0.0	0.0	0.0
hgt	832	GCA.002721815.1.Bacteria.Myxococcota	1622.625	0.0	811.3125
los	None	dead	0.0	0.0	0.0
spe	189	188	3564.735	3280.19	3422.4625
los	188	GCA.002869225.1.Bacteria.Muirbacteria	3280.19	0.0	1640.095
hgt	None	dead	0.0	0.0	0.0
hgt	74	GCA.002011165.1.Archaea.Halobacteriota	1964.425	0.0	982.2125
los	None	dead	0.0	0.0	0.0
dup	1727	1726	3797.955	3785.015	3791.485
hgt	None	dead	0.0	0.0	0.0
hgt	720	GCA.002347965.1.Bacteria.UBA2233	2336.65	0.0	1168.325
hgt	670	669	2401.115	1836.34	2118.7275
los	None	dead	0.0	0.0	0.0
spe	670	669	2401.115	1836.34	2118.7275
hgt	949	GCA.001872685.1.Bacteria.Marinisomatota	1614.375	0.0	807.1875
spe	669	668	1836.34	1575.265	1705.8025
hgt	935	GCA.001789205.1.Bacteria.Fibrobacterota	2109.88	0.0	1054.94
los	668	GCA.002010665.1.Bacteria.Acidobacteriota	1575.265	0.0	787.6325
hgt	390	GCA.002780065.1.Bacteria.UBA8481	3128.085	0.0	1564.0425
dup	1727	1726	3797.955	3785.015	3791.485
spe	1727	1726	3797.955	3785.015	3791.485
spe	1726	1094	3785.015	3721.555	3753.285
los	1094	1093	3721.555	3558.68	3640.1175
hgt	None	dead	0.0	0.0	0.0
spe	1094	1048	3721.555	3560.57	3641.0625
los	1048	278	3560.57	3428.485	3494.5275
spe	1048	1047	3560.57	3546.415	3553.4925
hgt	None	dead	0.0	0.0	0.0
hgt	834	GCA.001798605.1.Bacteria.Myxococcota	1863.715	0.0	931.8575
los	None	dead	0.0	0.0	0.0
spe	1047	365	3546.415	3289.67	3418.0425
los	365	GCA.001730085.1.Bacteria.GCA.001730085	3289.67	0.0	1644.835
hgt	None	dead	0.0	0.0	0.0
hgt	812	GCA.002863065.1.Bacteria.Myxococcota	1631.73	0.0	815.865
los	None	dead	0.0	0.0	0.0
spe	365	364	3289.67	3190.2	3239.935
hgt	None	dead	0.0	0.0	0.0
los	364	316	3190.2	2994.185	3092.1925
hgt	397	GCF.000526155.1.Bacteria.Desulfobacterota	3012.355	0.0	1506.1775
hgt	804	GCA.003247575.1.Bacteria.Myxococcota.A	2020.19	0.0	1010.095
los	None	dead	0.0	0.0	0.0
hgt	274	GCA.002687025.1.Bacteria.Poribacteria	2118.375	0.0	1059.1875
spe	364	363	3190.2	2638.385	2914.2925
spe	363	362	2638.385	2473.985	2556.185
los	362	361	2473.985	2351.985	2412.985
spe	362	342	2473.985	2271.435	2372.71
spe	342	341	2271.435	2005.01	2138.2225
los	341	GCA.003170085.1.Bacteria.Planctomycetota	2005.01	0.0	1002.505
spe	341	340	2005.01	1641.945	1823.4775
los	340	339	1641.945	1498.51	1570.2275
hgt	None	dead	0.0	0.0	0.0
hgt	866	GCA.003194485.1.Bacteria.Desulfobacterota	1421.715	0.0	710.8575
los	None	dead	0.0	0.0	0.0
spe	340	334	1641.945	1433.42	1537.6825
los	334	332	1433.42	1016.322	1224.871
spe	342	328	2271.435	1842.83	2057.1325
hgt	1145	GCA.001767695.1.Bacteria.Actinobacteriota	2028.235	0.0	1014.1175
los	328	327	1842.83	1542.255	1692.5425
hgt	804	GCA.002731275.1.Bacteria.Myxococcota	2020.19	0.0	1010.095
hgt	1721	1720	3170.865	2606.555	2888.71
spe	363	321	2638.385	2458.77	2548.5775
hgt	None	dead	0.0	0.0	0.0
los	321	320	2458.77	2256.89	2357.83
hgt	977	GCA.001567195.1.Bacteria.Bacteroidota	1171.8395	0.0	585.91975
hgt	1119	GCF.002973605.1.Bacteria.Armatimonadota	2017.9	0.0	1008.95
los	None	dead	0.0	0.0	0.0
hgt	1106	GCA.003134215.1.Bacteria.Armatimonadota	1668.05	0.0	834.025
spe	1721	1720	3170.865	2606.555	2888.71
spe	1720	1719	2606.555	2498.57	2552.5625
los	1719	GCF.000013205.1.Bacteria.Cyanobacteria	2498.57	0.0	1249.285
spe	1719	1718	2498.57	2360.855	2429.7125
los	1718	1717	2360.855	2145.98	2253.4175
spe	1718	1704	2360.855	2247.23	2304.0425
los	1704	1672	2247.23	2002.185	2124.7075
spe	1704	1703	2247.23	2155.655	2201.4425
spe	1703	1679	2155.655	1829.33	1992.4925
los	1679	1678	1829.33	892.4805	1360.90525
dup	1703	1702	2155.655	2083.6	2119.6275
spe	1703	1702	2155.655	2083.6	2119.6275
hgt	None	dead	0.0	0.0	0.0
los	1702	GCF.003838225.1.Bacteria.Cyanobacteria	2083.6	0.0	1041.8
hgt	1672	GCF.002251945.1.Bacteria.Cyanobacteria	2002.185	0.0	1001.0925
los	None	dead	0.0	0.0	0.0
dup	1702	1701	2083.6	2042.11	2062.855
spe	1702	1701	2083.6	2042.11	2062.855
los	1701	1685	2042.11	1873.315	1957.7125
spe	1701	1700	2042.11	1961.585	2001.8475
spe	1700	1688	1961.585	1636.375	1798.98
spe	1700	1699	1961.585	1903.88	1932.7325
los	1699	GCF.000317045.1.Bacteria.Cyanobacteria	1903.88	0.0	951.94
spe	1699	1698	1903.88	1614.145	1759.0125
los	1698	1692	1614.145	178.9818	896.5634
spe	1698	1697	1614.145	1294.515	1454.33
hgt	1678	GCF.000017845.1.Bacteria.Cyanobacteria	892.4805	0.0	446.24025
spe	1697	1695	1294.515	878.0175	1086.26625
spe	1702	1701	2083.6	2042.11	2062.855
spe	1701	1685	2042.11	1873.315	1957.7125
los	1685	GCF.000018105.1.Bacteria.Cyanobacteria	1873.315	0.0	936.6575
spe	1685	1684	1873.315	1661.66	1767.4875
los	1684	GCA.001698445.1.Bacteria.Cyanobacteria	1661.66	0.0	830.83
spe	1701	1700	2042.11	1961.585	2001.8475
los	1700	1688	1961.585	1636.375	1798.98
spe	1700	1699	1961.585	1903.88	1932.7325
los	1699	1698	1903.88	1614.145	1759.0125
spe	1703	1702	2155.655	2083.6	2119.6275
spe	1702	1701	2083.6	2042.11	2062.855
los	1701	1700	2042.11	1961.585	2001.8475
spe	1701	1685	2042.11	1873.315	1957.7125
spe	1685	1684	1873.315	1661.66	1767.4875
los	1684	GCF.000316115.1.Bacteria.Cyanobacteria	1661.66	0.0	830.83
spe	1047	1046	3546.415	3486.69	3516.5525
spe	1046	1045	3486.69	3272.33	3379.51
los	1045	921	3272.33	3079.615	3175.9725
spe	1045	1044	3272.33	3049.955	3161.1425
spe	1044	1043	3049.955	2969.625	3009.79
los	1043	1042	2969.625	2835.45	2902.5375
spe	1043	1011	2969.625	2792.03	2880.8275
spe	1011	997	2792.03	2552.125	2672.0775
los	997	996	2552.125	2456.91	2504.5175
spe	997	941	2552.125	2334.605	2443.365
los	941	GCA.003477045.1.Bacteria.Delongbacteria	2334.605	0.0	1167.3025
spe	941	940	2334.605	1909.055	2121.83
los	940	GCA.002127415.1.Bacteria.AABM5.125.24	1909.055	0.0	954.5275
spe	1011	1010	2792.03	2582.8	2687.415
los	1010	1000	2582.8	1791.06	2186.93
spe	1010	1009	2582.8	2173.615	2378.2075
los	1009	GCA.003105265.1.Bacteria.Zixibacteria	2173.615	0.0	1086.8075
spe	1009	1008	2173.615	1946.09	2059.8525
los	1008	GCA.000447245.1.Bacteria.Zixibacteria	1946.09	0.0	973.045
spe	1008	1006	1946.09	1724.14	1835.115
los	1006	GCA.001302725.1.Bacteria.Zixibacteria	1724.14	0.0	862.07
spe	1006	1004	1724.14	1511.205	1617.6725
spe	1044	936	3049.955	2851.625	2950.79
los	936	935	2851.625	2109.88	2480.7525
hgt	None	dead	0.0	0.0	0.0
hgt	1141	GCA.003140175.1.Bacteria.Actinobacteriota	1437.0	0.0	718.5
los	None	dead	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0
spe	936	926	2851.625	2372.335	2611.98
los	926	GCA.001780825.1.Bacteria.Gemmatimonadota	2372.335	0.0	1186.1675
hgt	None	dead	0.0	0.0	0.0
spe	926	924	2372.335	1862.1	2117.2175
los	924	GCA.003221825.1.Bacteria.Gemmatimonadota	1862.1	0.0	931.05
hgt	None	dead	0.0	0.0	0.0
