event	left_node	right_node	left_date	right_date	midpoint_date	left_date_lower	left_date_upper	right_date_lower	right_date_upper	midpoint_date_all
hgt	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hgt	1437	GCF.900066015.1.Bacteria.Chloroflexota	1179.4025	0.0	589.70125	1379.79	979.015	0.0	0.0	689.895
los	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hgt	1469	GCA.001898225.1.Bacteria.Chloroflexota	1899.175	0.0	949.5875	2149.99	1648.36	0.0	0.0	1074.995
los	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hgt	170	169	1385.215	1257.45	1321.3325	1476.14	1294.29	1336.5	1178.4	1327.27
los	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spe	170	169	1385.215	1257.45	1321.3325	1476.14	1294.29	1336.5	1178.4	1327.27
spe	169	155	1257.45	1058.614	1158.032	1336.5	1178.4	1171.4	945.828	1141.164
los	155	GCF.000165345.1.Eukaryota.Apicocomplexa	1058.614	0.0	529.307	1171.4	945.828	0.0	0.0	585.7
spe	169	168	1257.45	1203.215	1230.3325	1336.5	1178.4	1278.55	1127.88	1232.19
hgt	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hgt	166	GCA.000209225.1.Eukaryota.Cnidaria	815.5625	0.0	407.78125	940.789	690.336	0.0	0.0	470.3945
los	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spe	168	167	1203.215	1031.0195	1117.11725	1278.55	1127.88	1134.18	927.859	1103.2045
spe	167	166	1031.0195	815.5625	923.291	1134.18	927.859	940.789	690.336	912.258
hgt	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
los	166	165	815.5625	570.5515	693.057	940.789	690.336	716.091	425.012	682.9005
dup	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hgt	166	GCA.000209225.1.Eukaryota.Cnidaria	815.5625	0.0	407.78125	940.789	690.336	0.0	0.0	470.3945
los	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hgt	166	GCA.000209225.1.Eukaryota.Cnidaria	815.5625	0.0	407.78125	940.789	690.336	0.0	0.0	470.3945
los	None	dead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spe	168	160	1203.215	1138.49	1170.8525	1278.55	1127.88	1206.42	1070.56	1174.555
spe	160	159	1138.49	1074.125	1106.3075	1206.42	1070.56	1097.88	1050.37	1128.395
los	159	GCF.000091205.1.Eukaryota.Rhodophyta	1074.125	0.0	537.0625	1097.88	1050.37	0.0	0.0	548.94
