event	left_node	right_node	hgt_id	left_date	right_date	midpoint_date
spe	649	648	NA	2046.605	1974.705	2010.655
spe	648	562	NA	1974.705	1813.695	1894.2
los	562	561	NA	1813.695	1737.62	1775.6575
spe	562	546	NA	1813.695	1450.69	1632.1925
los	546	GCA.002747435.1.Bacteria.Proteobacteria	NA	1450.69	0.0	725.345
spe	648	647	NA	1974.705	1898.035	1936.37
spe	647	571	NA	1898.035	1737.025	1817.53
spe	571	570	NA	1737.025	1581.87	1659.4475
hgt origin	570	568	1: 568 to GCA.002451085.1.Bacteria.Proteobacteria	1581.87	1421.955	1501.9125
hgt	529	GCA.002451085.1.Bacteria.Proteobacteria	1: 568 to GCA.002451085.1.Bacteria.Proteobacteria	1776.585	0.0	888.2925
los	570	568	NA	1581.87	1421.955	1501.9125
hgt origin	570	GCA.002255365.1.Bacteria.Proteobacteria	2: GCA.002255365.1.Bacteria.Proteobacteria to GCA.001735895.1.Bacteria.Proteobacteria	1581.87	0.0	790.935
hgt	560	GCA.001735895.1.Bacteria.Proteobacteria	2: GCA.002255365.1.Bacteria.Proteobacteria to GCA.001735895.1.Bacteria.Proteobacteria	1548.725	0.0	774.3625
spe	571	565	NA	1737.025	1459.56	1598.2925
hgt origin	565	GCF.000239355.1.Bacteria.Proteobacteria	3: GCF.000239355.1.Bacteria.Proteobacteria to GCF.002109495.1.Bacteria.Proteobacteria	1459.56	0.0	729.78
hgt	519	GCF.002109495.1.Bacteria.Proteobacteria	3: GCF.000239355.1.Bacteria.Proteobacteria to GCF.002109495.1.Bacteria.Proteobacteria	2563.7	0.0	1281.85
los	565	GCF.000239355.1.Bacteria.Proteobacteria	NA	1459.56	0.0	729.78
spe	647	646	NA	1898.035	1850.35	1874.1925
hgt origin	646	588	4: 588 to dead	1850.35	1741.465	1795.9075
hgt	None	dead	4: 588 to dead	0.0	0.0	0.0
hgt origin	None	dead	5: dead to GCA.002085445.1.Bacteria.Proteobacteria	0.0	0.0	0.0
hgt	603	GCA.002085445.1.Bacteria.Proteobacteria	5: dead to GCA.002085445.1.Bacteria.Proteobacteria	1631.14	0.0	815.57
los	None	dead	NA	0.0	0.0	0.0
hgt origin	646	588	6: 588 to GCA.003023725.1.Bacteria.Firmicutes.E	1850.35	1741.465	1795.9075
hgt	1228	GCA.003023725.1.Bacteria.Firmicutes.E	6: 588 to GCA.003023725.1.Bacteria.Firmicutes.E	2160.575	0.0	1080.2875
hgt origin	646	588	7: 588 to GCA.002450905.1.Bacteria.Spirochaetota	1850.35	1741.465	1795.9075
hgt	386	GCA.002450905.1.Bacteria.Spirochaetota	7: 588 to GCA.002450905.1.Bacteria.Spirochaetota	1962.46	0.0	981.23
hgt origin	646	588	8: 588 to GCA.001872725.1.Bacteria.Proteobacteria	1850.35	1741.465	1795.9075
hgt	406	GCA.001872725.1.Bacteria.Proteobacteria	8: 588 to GCA.001872725.1.Bacteria.Proteobacteria	2518.42	0.0	1259.21
spe	646	588	NA	1850.35	1741.465	1795.9075
spe	588	576	NA	1741.465	1593.015	1667.24
hgt origin	576	GCA.002432655.1.Bacteria.Proteobacteria	9: GCA.002432655.1.Bacteria.Proteobacteria to GCA.002386945.1.Bacteria.Proteobacteria	1593.015	0.0	796.5075
hgt	558	GCA.002386945.1.Bacteria.Proteobacteria	9: GCA.002432655.1.Bacteria.Proteobacteria to GCA.002386945.1.Bacteria.Proteobacteria	1383.43	0.0	691.715
los	576	GCA.002432655.1.Bacteria.Proteobacteria	NA	1593.015	0.0	796.5075
spe	576	574	NA	1593.015	1337.465	1465.24
hgt origin	574	GCF.000374645.1.Bacteria.Proteobacteria	10: GCF.000374645.1.Bacteria.Proteobacteria to GCF.001399755.1.Bacteria.Proteobacteria	1337.465	0.0	668.7325
hgt	653	GCF.001399755.1.Bacteria.Proteobacteria	10: GCF.000374645.1.Bacteria.Proteobacteria to GCF.001399755.1.Bacteria.Proteobacteria	2511.255	0.0	1255.6275
los	574	GCF.000374645.1.Bacteria.Proteobacteria	NA	1337.465	0.0	668.7325
hgt origin	588	587	11: 587 to 512	1741.465	1367.14	1554.3025
hgt	513	512	11: 587 to 512	1728.66	1614.755	1671.7075
spe	588	587	NA	1741.465	1367.14	1554.3025
spe	587	586	NA	1367.14	1254.4	1310.77
los	586	585	NA	1254.4	1064.929	1159.6645
hgt origin	587	581	12: 581 to dead	1367.14	1215.78	1291.46
hgt	None	dead	12: 581 to dead	0.0	0.0	0.0
hgt origin	None	dead	13: dead to GCA.002348425.1.Bacteria.Proteobacteria	0.0	0.0	0.0
hgt	444	GCA.002348425.1.Bacteria.Proteobacteria	13: dead to GCA.002348425.1.Bacteria.Proteobacteria	1051.014	0.0	525.507
los	None	dead	NA	0.0	0.0	0.0
hgt origin	587	581	14: 581 to 456	1367.14	1215.78	1291.46
hgt	458	456	14: 581 to 456	1466.17	1288.015	1377.0925
los	587	581	NA	1367.14	1215.78	1291.46
spe	458	456	NA	1466.17	1288.015	1377.0925
hgt origin	456	GCF.002148795.1.Bacteria.Proteobacteria	15: GCF.002148795.1.Bacteria.Proteobacteria to GCF.003258945.1.Bacteria.Proteobacteria	1288.015	0.0	644.0075
hgt	467	GCF.003258945.1.Bacteria.Proteobacteria	15: GCF.002148795.1.Bacteria.Proteobacteria to GCF.003258945.1.Bacteria.Proteobacteria	1071.506	0.0	535.753
spe	456	455	NA	1288.015	945.418	1116.7165
spe	455	454	NA	945.418	825.9765	885.69725
los	454	GCA.002709155.1.Bacteria.Proteobacteria	NA	825.9765	0.0	412.98825
spe	454	453	NA	825.9765	706.861	766.41875
los	453	GCA.002457765.1.Bacteria.Proteobacteria	NA	706.861	0.0	353.4305
hgt origin	513	512	16: 512 to GCA.002722885.1.Bacteria.Proteobacteria	1728.66	1614.755	1671.7075
hgt	436	GCA.002722885.1.Bacteria.Proteobacteria	16: 512 to GCA.002722885.1.Bacteria.Proteobacteria	1682.45	0.0	841.225
spe	513	512	NA	1728.66	1614.755	1671.7075
spe	512	486	NA	1614.755	1342.71	1478.7325
los	486	GCF.000264455.2.Bacteria.Proteobacteria	NA	1342.71	0.0	671.355
spe	512	511	NA	1614.755	1534.63	1574.6925
spe	511	489	NA	1534.63	1174.55	1354.59
los	489	GCA.002701885.1.Bacteria.Proteobacteria	NA	1174.55	0.0	587.275
spe	511	510	NA	1534.63	1468.305	1501.4675
los	510	509	NA	1468.305	1371.54	1419.9225
spe	510	492	NA	1468.305	1215.16	1341.7325
hgt origin	492	GCF.900172325.1.Bacteria.Proteobacteria	17: GCF.900172325.1.Bacteria.Proteobacteria to GCF.001697225.1.Bacteria.Proteobacteria	1215.16	0.0	607.58
