event	left_node	right_node	hgt_id	left_date	right_date	midpoint_date
spe	179	178	NA	3274.245	3153.655	3213.95
spe	178	32	NA	3153.655	2402.345	2778.0
spe	32	31	NA	2402.345	1919.745	2161.045
los	31	GCA.001723855.1.Archaea.Altiarchaeota	NA	1919.745	0.0	959.8725
spe	31	29	NA	1919.745	1492.545	1706.145
los	29	GCA.002254565.1.Archaea.Altiarchaeota	NA	1492.545	0.0	746.2725
spe	32	26	NA	2402.345	790.375	1596.36
spe	178	177	NA	3153.655	2975.235	3064.445
spe	177	176	NA	2975.235	2798.9	2887.0675
spe	176	140	NA	2798.9	2626.73	2712.815
los	140	139	NA	2626.73	2517.75	2572.24
spe	176	175	NA	2798.9	2653.515	2726.2075
spe	175	174	NA	2653.515	2527.615	2590.565
los	174	173	NA	2527.615	2445.14	2486.3775
hgt origin	175	143	1: 143 to dead	2653.515	1902.65	2278.0825
hgt	None	dead	1: 143 to dead	0.0	0.0	0.0
los	175	143	NA	2653.515	1902.65	2278.0825
hgt origin	None	dead	2: dead to GCA.001593865.1.Archaea.Thermoproteota	0.0	0.0	0.0
hgt	113	GCA.001593865.1.Archaea.Thermoproteota	2: dead to GCA.001593865.1.Archaea.Thermoproteota	1643.05	0.0	821.525
los	None	dead	NA	0.0	0.0	0.0
hgt origin	177	95	3: 95 to dead	2975.235	2751.94	2863.5875
hgt	None	dead	3: 95 to dead	0.0	0.0	0.0
hgt origin	None	dead	4: dead to 116	0.0	0.0	0.0
hgt	118	116	4: dead to 116	1643.115	1108.5585	1375.83675
los	None	dead	NA	0.0	0.0	0.0
spe	118	116	NA	1643.115	1108.5585	1375.83675
spe	177	95	NA	2975.235	2751.94	2863.5875
spe	95	39	NA	2751.94	2176.73	2464.335
hgt origin	39	35	5: 35 to 70	2176.73	1886.455	2031.5925
hgt	92	70	5: 35 to 70	2447.115	2126.625	2286.87
spe	39	35	NA	2176.73	1886.455	2031.5925
hgt origin	35	GCA.001587715.1.Archaea.Methanobacteriota.B	6: GCA.001587715.1.Archaea.Methanobacteriota.B to GCA.003194435.1.Archaea.Halobacteriota	1886.455	0.0	943.2275
hgt	77	GCA.003194435.1.Archaea.Halobacteriota	6: GCA.001587715.1.Archaea.Methanobacteriota.B to GCA.003194435.1.Archaea.Halobacteriota	1412.42	0.0	706.21
los	35	GCA.001587715.1.Archaea.Methanobacteriota.B	NA	1886.455	0.0	943.2275
hgt origin	35	GCF.002201895.1.Archaea.Euryarchaeota	7: GCF.002201895.1.Archaea.Euryarchaeota to GCA.002428295.1.Bacteria.Caldisericota	1886.455	0.0	943.2275
hgt	1068	GCA.002428295.1.Bacteria.Caldisericota	7: GCF.002201895.1.Archaea.Euryarchaeota to GCA.002428295.1.Bacteria.Caldisericota	1488.73	0.0	744.365
spe	92	70	NA	2447.115	2126.625	2286.87
spe	70	54	NA	2126.625	1938.605	2032.615
los	54	48	NA	1938.605	1716.14	1827.3725
spe	54	53	NA	1938.605	1580.44	1759.5225
los	53	52	NA	1580.44	1320.27	1450.355
spe	70	69	NA	2126.625	1947.51	2037.0675
spe	69	68	NA	1947.51	1695.025	1821.2675
spe	68	67	NA	1695.025	1500.29	1597.6575
los	67	GCA.001421185.1.Archaea.Thermoplasmatota	NA	1500.29	0.0	750.145
spe	67	65	NA	1500.29	1261.09	1380.69
los	65	GCA.001595885.1.Archaea.Thermoplasmatota	NA	1261.09	0.0	630.545
spe	69	61	NA	1947.51	1811.47	1879.49
los	61	GCA.002497685.1.Archaea.Thermoplasmatota	NA	1811.47	0.0	905.735
spe	61	60	NA	1811.47	1534.115	1672.7925
spe	60	59	NA	1534.115	1276.445	1405.28
los	59	GCA.002011395.1.Archaea.Thermoplasmatota	NA	1276.445	0.0	638.2225
hgt origin	60	GCF.002078355.1.Archaea.Thermoplasmatota	8: GCF.002078355.1.Archaea.Thermoplasmatota to 47	1534.115	0.0	767.0575
hgt	48	47	8: GCF.002078355.1.Archaea.Thermoplasmatota to 47	1716.14	1480.595	1598.3675
hgt origin	48	47	9: 47 to GCA.002255045.1.Archaea.Thermoproteota	1716.14	1480.595	1598.3675
hgt	137	GCA.002255045.1.Archaea.Thermoproteota	9: 47 to GCA.002255045.1.Archaea.Thermoproteota	2168.41	0.0	1084.205
spe	48	47	NA	1716.14	1480.595	1598.3675
hgt origin	39	38	10: 38 to 108	2176.73	1770.925	1973.8275
hgt	109	108	10: 38 to 108	2214.8	1863.195	2038.9975
los	39	38	NA	2176.73	1770.925	1973.8275
spe	109	108	NA	2214.8	1863.195	2038.9975
hgt origin	108	GCF.000148385.1.Archaea.Thermoproteota	11: GCF.000148385.1.Archaea.Thermoproteota to dead	1863.195	0.0	931.5975
hgt	None	dead	11: GCF.000148385.1.Archaea.Thermoproteota to dead	0.0	0.0	0.0
hgt origin	None	dead	12: dead to 128	0.0	0.0	0.0
hgt	130	128	12: dead to 128	1643.645	925.9285	1284.78675
los	None	dead	NA	0.0	0.0	0.0
spe	130	128	NA	1643.645	925.9285	1284.78675
hgt origin	108	GCF.000148385.1.Archaea.Thermoproteota	13: GCF.000148385.1.Archaea.Thermoproteota to 133	1863.195	0.0	931.5975
hgt	134	133	13: GCF.000148385.1.Archaea.Thermoproteota to 133	1807.525	1484.13	1645.8275
hgt origin	108	GCF.000148385.1.Archaea.Thermoproteota	14: GCF.000148385.1.Archaea.Thermoproteota to dead	1863.195	0.0	931.5975
hgt	None	dead	14: GCF.000148385.1.Archaea.Thermoproteota to dead	0.0	0.0	0.0
hgt origin	None	dead	15: dead to GCA.002255025.1.Archaea.Thermoproteota	0.0	0.0	0.0
