event	left_node	right_node	hgt_id	left_date	right_date	midpoint_date
spe	1477	1476	NA	2723.605	2416.915	2570.26
spe	1476	1454	NA	2416.915	1996.555	2206.735
spe	1454	1453	NA	1996.555	1862.655	1929.605
spe	1453	1449	NA	1862.655	1589.82	1726.2375
los	1449	GCA.002400365.1.Bacteria.Chloroflexota	NA	1589.82	0.0	794.91
spe	1453	1452	NA	1862.655	1430.125	1646.39
los	1452	GCA.002423325.1.Bacteria.Chloroflexota	NA	1430.125	0.0	715.0625
spe	1454	1446	NA	1996.555	1803.385	1899.97
spe	1446	1440	NA	1803.385	1679.715	1741.55
los	1440	GCF.001306175.1.Bacteria.Chloroflexota	NA	1679.715	0.0	839.8575
spe	1440	1439	NA	1679.715	1492.005	1585.86
los	1439	1438	NA	1492.005	1317.205	1404.605
spe	1446	1445	NA	1803.385	1577.91	1690.6475
hgt origin	1445	GCA.003130875.1.Bacteria.Chloroflexota	1: GCA.003130875.1.Bacteria.Chloroflexota to GCA.002400365.1.Bacteria.Chloroflexota	1577.91	0.0	788.955
hgt	1449	GCA.002400365.1.Bacteria.Chloroflexota	1: GCA.003130875.1.Bacteria.Chloroflexota to GCA.002400365.1.Bacteria.Chloroflexota	1589.82	0.0	794.91
spe	1445	1444	NA	1577.91	1386.06	1481.985
hgt origin	1444	GCA.003451595.1.Bacteria.Chloroflexota	2: GCA.003451595.1.Bacteria.Chloroflexota to GCF.001306175.1.Bacteria.Chloroflexota	1386.06	0.0	693.03
hgt	1440	GCF.001306175.1.Bacteria.Chloroflexota	2: GCA.003451595.1.Bacteria.Chloroflexota to GCF.001306175.1.Bacteria.Chloroflexota	1679.715	0.0	839.8575
los	1444	GCA.003451595.1.Bacteria.Chloroflexota	NA	1386.06	0.0	693.03
spe	1476	1475	NA	2416.915	2249.485	2333.2
los	1475	1474	NA	2249.485	2094.15	2171.8175
spe	1475	1463	NA	2249.485	1987.575	2118.53
spe	1463	1462	NA	1987.575	1858.705	1923.14
spe	1462	1461	NA	1858.705	1519.02	1688.8625
los	1461	GCA.002413265.1.Bacteria.Chloroflexota	NA	1519.02	0.0	759.51
hgt origin	1462	GCA.002436065.1.Bacteria.Chloroflexota	3: GCA.002436065.1.Bacteria.Chloroflexota to dead	1858.705	0.0	929.3525
hgt	None	dead	3: GCA.002436065.1.Bacteria.Chloroflexota to dead	0.0	0.0	0.0
hgt origin	None	dead	4: dead to 1419	0.0	0.0	0.0
hgt	1421	1419	4: dead to 1419	1474.28	1336.415	1405.3475
los	None	dead	NA	0.0	0.0	0.0
spe	1421	1419	NA	1474.28	1336.415	1405.3475
hgt origin	1462	GCA.002436065.1.Bacteria.Chloroflexota	5: GCA.002436065.1.Bacteria.Chloroflexota to dead	1858.705	0.0	929.3525
hgt	None	dead	5: GCA.002436065.1.Bacteria.Chloroflexota to dead	0.0	0.0	0.0
hgt origin	1462	GCA.002436065.1.Bacteria.Chloroflexota	6: GCA.002436065.1.Bacteria.Chloroflexota to GCA.001768645.1.Bacteria.Actinobacteriota	1858.705	0.0	929.3525
hgt	1136	GCA.001768645.1.Bacteria.Actinobacteriota	6: GCA.002436065.1.Bacteria.Chloroflexota to GCA.001768645.1.Bacteria.Actinobacteriota	1777.3	0.0	888.65
hgt origin	1462	GCA.002436065.1.Bacteria.Chloroflexota	7: GCA.002436065.1.Bacteria.Chloroflexota to dead	1858.705	0.0	929.3525
hgt	None	dead	7: GCA.002436065.1.Bacteria.Chloroflexota to dead	0.0	0.0	0.0
hgt origin	1462	GCA.002436065.1.Bacteria.Chloroflexota	8: GCA.002436065.1.Bacteria.Chloroflexota to 1133	1858.705	0.0	929.3525
hgt	1187	1133	8: GCA.002436065.1.Bacteria.Chloroflexota to 1133	2676.31	1803.285	2239.7975
spe	1187	1133	NA	2676.31	1803.285	2239.7975
hgt origin	None	-1	9: -1 to 1179	0.0	0.0	0.0
hgt	1180	1179	9: -1 to 1179	1876.995	1607.105	1742.05
hgt origin	None	-1	10: -1 to GCA.002436065.1.Bacteria.Chloroflexota	0.0	0.0	0.0
hgt	1462	GCA.002436065.1.Bacteria.Chloroflexota	10: -1 to GCA.002436065.1.Bacteria.Chloroflexota	1858.705	0.0	929.3525
hgt origin	None	dead	11: dead to 873	0.0	0.0	0.0
hgt	874	873	11: dead to 873	1792.455	1600.675	1696.565
los	None	dead	NA	0.0	0.0	0.0
hgt origin	874	873	12: 873 to dead	1792.455	1600.675	1696.565
hgt	None	dead	12: 873 to dead	0.0	0.0	0.0
hgt origin	None	dead	13: dead to GCA.001513145.1.Bacteria.Firmicutes.G	0.0	0.0	0.0
hgt	1208	GCA.001513145.1.Bacteria.Firmicutes.G	13: dead to GCA.001513145.1.Bacteria.Firmicutes.G	1446.125	0.0	723.0625
los	None	dead	NA	0.0	0.0	0.0
spe	874	873	NA	1792.455	1600.675	1696.565
spe	873	871	NA	1600.675	1358.76	1479.7175
