event	left_node	right_node	hgt_id	left_date	right_date	midpoint_date
spe	94	93	NA	2705.465	2558.825	2632.145
spe	93	92	NA	2558.825	2447.115	2502.97
los	92	70	NA	2447.115	2126.625	2286.87
spe	92	91	NA	2447.115	2166.265	2306.69
spe	91	90	NA	2166.265	1969.495	2067.88
spe	90	89	NA	1969.495	1812.405	1890.95
los	89	88	NA	1812.405	1663.625	1738.015
spe	89	77	NA	1812.405	1412.42	1612.4125
los	77	GCA.003194435.1.Archaea.Halobacteriota	NA	1412.42	0.0	706.21
spe	90	74	NA	1969.495	1616.7	1793.0975
hgt origin	74	GCA.002011165.1.Archaea.Halobacteriota	1: GCA.002011165.1.Archaea.Halobacteriota to GCA.001587715.1.Archaea.Methanobacteriota.B	1616.7	0.0	808.35
hgt	35	GCA.001587715.1.Archaea.Methanobacteriota.B	1: GCA.002011165.1.Archaea.Halobacteriota to GCA.001587715.1.Archaea.Methanobacteriota.B	1886.455	0.0	943.2275
hgt origin	74	GCA.002011165.1.Archaea.Halobacteriota	2: GCA.002011165.1.Archaea.Halobacteriota to dead	1616.7	0.0	808.35
hgt	None	dead	2: GCA.002011165.1.Archaea.Halobacteriota to dead	0.0	0.0	0.0
hgt origin	None	dead	3: dead to GCA.003194435.1.Archaea.Halobacteriota	0.0	0.0	0.0
hgt	77	GCA.003194435.1.Archaea.Halobacteriota	3: dead to GCA.003194435.1.Archaea.Halobacteriota	1412.42	0.0	706.21
los	None	dead	NA	0.0	0.0	0.0
hgt origin	74	GCA.002011165.1.Archaea.Halobacteriota	4: GCA.002011165.1.Archaea.Halobacteriota to 107	1616.7	0.0	808.35
hgt	108	107	4: GCA.002011165.1.Archaea.Halobacteriota to 107	1863.195	1515.18	1689.1875
hgt origin	74	GCA.002011165.1.Archaea.Halobacteriota	5: GCA.002011165.1.Archaea.Halobacteriota to GCA.002255045.1.Archaea.Thermoproteota	1616.7	0.0	808.35
hgt	137	GCA.002255045.1.Archaea.Thermoproteota	5: GCA.002011165.1.Archaea.Halobacteriota to GCA.002255045.1.Archaea.Thermoproteota	2168.41	0.0	1084.205
hgt origin	74	GCA.002011165.1.Archaea.Halobacteriota	6: GCA.002011165.1.Archaea.Halobacteriota to GCF.000019605.1.Archaea.Thermoproteota	1616.7	0.0	808.35
hgt	140	GCF.000019605.1.Archaea.Thermoproteota	6: GCA.002011165.1.Archaea.Halobacteriota to GCF.000019605.1.Archaea.Thermoproteota	2626.73	0.0	1313.365
hgt origin	74	GCA.002011165.1.Archaea.Halobacteriota	7: GCA.002011165.1.Archaea.Halobacteriota to GCA.001443005.1.Bacteria.Synergistota	1616.7	0.0	808.35
hgt	1058	GCA.001443005.1.Bacteria.Synergistota	7: GCA.002011165.1.Archaea.Halobacteriota to GCA.001443005.1.Bacteria.Synergistota	1931.1	0.0	965.55
hgt origin	1058	GCA.001443005.1.Bacteria.Synergistota	8: GCA.001443005.1.Bacteria.Synergistota to GCF.002214485.1.Archaea.Methanobacteriota.B	1931.1	0.0	965.55
hgt	38	GCF.002214485.1.Archaea.Methanobacteriota.B	8: GCA.001443005.1.Bacteria.Synergistota to GCF.002214485.1.Archaea.Methanobacteriota.B	1770.925	0.0	885.4625
hgt origin	140	GCF.000019605.1.Archaea.Thermoproteota	9: GCF.000019605.1.Archaea.Thermoproteota to GCF.001481685.1.Archaea.Thermoproteota	2626.73	0.0	1313.365
hgt	99	GCF.001481685.1.Archaea.Thermoproteota	9: GCF.000019605.1.Archaea.Thermoproteota to GCF.001481685.1.Archaea.Thermoproteota	1356.82	0.0	678.41
hgt origin	137	GCA.002255045.1.Archaea.Thermoproteota	10: GCA.002255045.1.Archaea.Thermoproteota to GCA.002877955.1.Bacteria.Caldisericota	2168.41	0.0	1084.205
hgt	1068	GCA.002877955.1.Bacteria.Caldisericota	10: GCA.002255045.1.Archaea.Thermoproteota to GCA.002877955.1.Bacteria.Caldisericota	1488.73	0.0	744.365
spe	108	107	NA	1863.195	1515.18	1689.1875
