event	left_node	right_node	hgt_id	left_date	right_date	midpoint_date
spe	458	456	NA	1624.365	1476.57	1550.4675
hgt origin	456	455	1: 455 to dead	1476.57	1226.72	1351.645
hgt	None	dead	1: 455 to dead	0.0	0.0	0.0
hgt origin	None	-1	2: -1 to GCA.002722885.1.Bacteria.Proteobacteria	0.0	0.0	0.0
hgt	436	GCA.002722885.1.Bacteria.Proteobacteria	2: -1 to GCA.002722885.1.Bacteria.Proteobacteria	1751.05	0.0	875.525
hgt origin	None	dead	3: dead to GCA.002348365.1.Bacteria.Proteobacteria	0.0	0.0	0.0
hgt	489	GCA.002348365.1.Bacteria.Proteobacteria	3: dead to GCA.002348365.1.Bacteria.Proteobacteria	1316.195	0.0	658.0975
los	None	dead	NA	0.0	0.0	0.0
spe	456	455	NA	1476.57	1226.72	1351.645
spe	455	454	NA	1226.72	1094.241	1160.4805
los	454	GCA.002709155.1.Bacteria.Proteobacteria	NA	1094.241	0.0	547.1205
spe	454	453	NA	1094.241	948.5585	1021.39975
hgt origin	453	GCA.002457765.1.Bacteria.Proteobacteria	4: GCA.002457765.1.Bacteria.Proteobacteria to GCA.002348425.1.Bacteria.Proteobacteria	948.5585	0.0	474.27925
hgt	444	GCA.002348425.1.Bacteria.Proteobacteria	4: GCA.002457765.1.Bacteria.Proteobacteria to GCA.002348425.1.Bacteria.Proteobacteria	1137.223	0.0	568.6115
hgt origin	453	GCA.002457765.1.Bacteria.Proteobacteria	5: GCA.002457765.1.Bacteria.Proteobacteria to GCF.002798435.1.Bacteria.Proteobacteria	948.5585	0.0	474.27925
hgt	492	GCF.002798435.1.Bacteria.Proteobacteria	5: GCA.002457765.1.Bacteria.Proteobacteria to GCF.002798435.1.Bacteria.Proteobacteria	1312.7	0.0	656.35
hgt origin	456	GCF.002148795.1.Bacteria.Proteobacteria	6: GCF.002148795.1.Bacteria.Proteobacteria to GCA.002721365.1.Bacteria.Proteobacteria	1476.57	0.0	738.285
hgt	486	GCA.002721365.1.Bacteria.Proteobacteria	6: GCF.002148795.1.Bacteria.Proteobacteria to GCA.002721365.1.Bacteria.Proteobacteria	1397.735	0.0	698.8675
hgt origin	456	GCF.002148795.1.Bacteria.Proteobacteria	7: GCF.002148795.1.Bacteria.Proteobacteria to dead	1476.57	0.0	738.285
hgt	None	dead	7: GCF.002148795.1.Bacteria.Proteobacteria to dead	0.0	0.0	0.0
hgt origin	456	GCF.002148795.1.Bacteria.Proteobacteria	8: GCF.002148795.1.Bacteria.Proteobacteria to GCF.003258945.1.Bacteria.Proteobacteria	1476.57	0.0	738.285
hgt	467	GCF.003258945.1.Bacteria.Proteobacteria	8: GCF.002148795.1.Bacteria.Proteobacteria to GCF.003258945.1.Bacteria.Proteobacteria	1181.4985	0.0	590.74925
hgt origin	None	-1	9: -1 to 634	0.0	0.0	0.0
hgt	636	634	9: -1 to 634	1555.685	1386.92	1471.3025
hgt origin	None	dead	10: dead to GCA.003228965.1.Bacteria.Proteobacteria	0.0	0.0	0.0
hgt	586	GCA.003228965.1.Bacteria.Proteobacteria	10: dead to GCA.003228965.1.Bacteria.Proteobacteria	1375.33	0.0	687.665
los	None	dead	NA	0.0	0.0	0.0
spe	636	634	NA	1555.685	1386.92	1471.3025
hgt origin	634	GCF.002020875.1.Bacteria.Proteobacteria	11: GCF.002020875.1.Bacteria.Proteobacteria to GCF.900172325.1.Bacteria.Proteobacteria	1386.92	0.0	693.46
hgt	492	GCF.900172325.1.Bacteria.Proteobacteria	11: GCF.002020875.1.Bacteria.Proteobacteria to GCF.900172325.1.Bacteria.Proteobacteria	1312.7	0.0	656.35
hgt origin	634	GCF.002020875.1.Bacteria.Proteobacteria	12: GCF.002020875.1.Bacteria.Proteobacteria to dead	1386.92	0.0	693.46
hgt	None	dead	12: GCF.002020875.1.Bacteria.Proteobacteria to dead	0.0	0.0	0.0
hgt origin	634	GCF.002020875.1.Bacteria.Proteobacteria	13: GCF.002020875.1.Bacteria.Proteobacteria to GCA.003023725.1.Bacteria.Firmicutes.E	1386.92	0.0	693.46
hgt	1228	GCA.003023725.1.Bacteria.Firmicutes.E	13: GCF.002020875.1.Bacteria.Proteobacteria to GCA.003023725.1.Bacteria.Firmicutes.E	1712.115	0.0	856.0575
hgt origin	634	GCF.002020875.1.Bacteria.Proteobacteria	14: GCF.002020875.1.Bacteria.Proteobacteria to GCF.900142435.1.Bacteria.Aquificota	1386.92	0.0	693.46
hgt	1076	GCF.900142435.1.Bacteria.Aquificota	14: GCF.002020875.1.Bacteria.Proteobacteria to GCF.900142435.1.Bacteria.Aquificota	1235.659	0.0	617.8295
hgt origin	634	GCF.002020875.1.Bacteria.Proteobacteria	15: GCF.002020875.1.Bacteria.Proteobacteria to GCA.002450905.1.Bacteria.Spirochaetota	1386.92	0.0	693.46
hgt	386	GCA.002450905.1.Bacteria.Spirochaetota	15: GCF.002020875.1.Bacteria.Proteobacteria to GCA.002450905.1.Bacteria.Spirochaetota	1753.72	0.0	876.86
hgt origin	634	GCF.002020875.1.Bacteria.Proteobacteria	16: GCF.002020875.1.Bacteria.Proteobacteria to dead	1386.92	0.0	693.46
hgt	None	dead	16: GCF.002020875.1.Bacteria.Proteobacteria to dead	0.0	0.0	0.0
hgt origin	None	-1	17: -1 to GCA.001735895.1.Bacteria.Proteobacteria	0.0	0.0	0.0
hgt	560	GCA.001735895.1.Bacteria.Proteobacteria	17: -1 to GCA.001735895.1.Bacteria.Proteobacteria	1588.765	0.0	794.3825
hgt origin	None	dead	18: dead to GCA.002085445.1.Bacteria.Proteobacteria	0.0	0.0	0.0
hgt	603	GCA.002085445.1.Bacteria.Proteobacteria	18: dead to GCA.002085445.1.Bacteria.Proteobacteria	1696.92	0.0	848.46
los	None	dead	NA	0.0	0.0	0.0
hgt origin	560	GCA.001735895.1.Bacteria.Proteobacteria	19: GCA.001735895.1.Bacteria.Proteobacteria to GCF.002958735.1.Bacteria.Proteobacteria	1588.765	0.0	794.3825
hgt	565	GCF.002958735.1.Bacteria.Proteobacteria	19: GCA.001735895.1.Bacteria.Proteobacteria to GCF.002958735.1.Bacteria.Proteobacteria	1414.39	0.0	707.195
hgt origin	634	GCF.002020875.1.Bacteria.Proteobacteria	20: GCF.002020875.1.Bacteria.Proteobacteria to GCF.002109495.1.Bacteria.Proteobacteria	1386.92	0.0	693.46
hgt	519	GCF.002109495.1.Bacteria.Proteobacteria	20: GCF.002020875.1.Bacteria.Proteobacteria to GCF.002109495.1.Bacteria.Proteobacteria	2611.035	0.0	1305.5175
hgt origin	634	GCF.002020875.1.Bacteria.Proteobacteria	21: GCF.002020875.1.Bacteria.Proteobacteria to dead	1386.92	0.0	693.46
hgt	None	dead	21: GCF.002020875.1.Bacteria.Proteobacteria to dead	0.0	0.0	0.0
hgt origin	None	-1	22: -1 to GCA.002840095.1.Bacteria.Proteobacteria	0.0	0.0	0.0
hgt	636	GCA.002840095.1.Bacteria.Proteobacteria	22: -1 to GCA.002840095.1.Bacteria.Proteobacteria	1555.685	0.0	777.8425
hgt origin	None	-1	23: -1 to GCA.002255365.1.Bacteria.Proteobacteria	0.0	0.0	0.0
hgt	570	GCA.002255365.1.Bacteria.Proteobacteria	23: -1 to GCA.002255365.1.Bacteria.Proteobacteria	1535.435	0.0	767.7175
hgt origin	None	dead	24: dead to GCA.002451085.1.Bacteria.Proteobacteria	0.0	0.0	0.0
hgt	529	GCA.002451085.1.Bacteria.Proteobacteria	24: dead to GCA.002451085.1.Bacteria.Proteobacteria	1606.235	0.0	803.1175
los	None	dead	NA	0.0	0.0	0.0
hgt origin	570	GCA.002255365.1.Bacteria.Proteobacteria	25: GCA.002255365.1.Bacteria.Proteobacteria to GCF.000021985.1.Bacteria.Proteobacteria	1535.435	0.0	767.7175
hgt	546	GCF.000021985.1.Bacteria.Proteobacteria	25: GCA.002255365.1.Bacteria.Proteobacteria to GCF.000021985.1.Bacteria.Proteobacteria	1417.275	0.0	708.6375
hgt origin	None	-1	26: -1 to GCA.002386945.1.Bacteria.Proteobacteria	0.0	0.0	0.0
hgt	558	GCA.002386945.1.Bacteria.Proteobacteria	26: -1 to GCA.002386945.1.Bacteria.Proteobacteria	1434.31	0.0	717.155
hgt origin	None	-1	27: -1 to GCF.001399755.1.Bacteria.Proteobacteria	0.0	0.0	0.0
hgt	653	GCF.001399755.1.Bacteria.Proteobacteria	27: -1 to GCF.001399755.1.Bacteria.Proteobacteria	2587.485	0.0	1293.7425
hgt origin	None	dead	28: dead to GCA.001872725.1.Bacteria.Proteobacteria	0.0	0.0	0.0
hgt	406	GCA.001872725.1.Bacteria.Proteobacteria	28: dead to GCA.001872725.1.Bacteria.Proteobacteria	2159.8	0.0	1079.9
los	None	dead	NA	0.0	0.0	0.0
hgt origin	558	GCA.002386945.1.Bacteria.Proteobacteria	29: GCA.002386945.1.Bacteria.Proteobacteria to GCF.900112605.1.Bacteria.Proteobacteria	1434.31	0.0	717.155
hgt	574	GCF.900112605.1.Bacteria.Proteobacteria	29: GCA.002386945.1.Bacteria.Proteobacteria to GCF.900112605.1.Bacteria.Proteobacteria	1330.6	0.0	665.3
