event	left_node	right_node	left_date	right_date	midpoint_date
spe	389	388	2648.15	2422.78	2535.465
hgt	None	dead	0.0	0.0	0.0
hgt	686	GCA.002451015.1.Bacteria.Acidobacteriota	1587.93	0.0	793.965
los	None	dead	0.0	0.0	0.0
spe	388	387	2422.78	2192.38	2307.58
los	387	386	2192.38	1753.72	1973.05
hgt	None	dead	0.0	0.0	0.0
hgt	821	GCA.002841825.1.Bacteria.Myxococcota	1377.535	0.0	688.7675
los	None	dead	0.0	0.0	0.0
spe	387	383	2192.38	1799.86	1996.12
los	383	381	1799.86	1432.255	1616.0575
spe	388	376	2422.78	1994.345	2208.5625
hgt	None	dead	0.0	0.0	0.0
los	376	374	1994.345	1504.65	1749.4975
hgt	1651	GCA.003242895.1.Bacteria.Margulisbacteria	1776.02	0.0	888.01
los	None	dead	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0
hgt	101	99	1577.935	1356.82	1467.3775
los	None	dead	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0
hgt	1438	GCA.002841995.1.Bacteria.Chloroflexota	1317.205	0.0	658.6025
los	None	dead	0.0	0.0	0.0
spe	101	99	1577.935	1356.82	1467.3775
hgt	None	dead	0.0	0.0	0.0
dup	None	dead	0.0	0.0	0.0
hgt	93	GCF.000025525.1.Archaea.Methanobacteriota.A	2558.825	0.0	1279.4125
los	None	dead	0.0	0.0	0.0
hgt	38	GCF.002214485.1.Archaea.Methanobacteriota.B	1770.925	0.0	885.4625
los	None	dead	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0
dup	None	dead	0.0	0.0	0.0
hgt	866	GCA.002877985.1.Bacteria.Desulfobacterota	1297.81	0.0	648.905
los	None	dead	0.0	0.0	0.0
hgt	108	GCF.000148385.1.Archaea.Thermoproteota	1863.195	0.0	931.5975
los	None	dead	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0
dup	None	dead	0.0	0.0	0.0
hgt	248	GCA.001799695.1.Bacteria.Elusimicrobiota	1250.934	0.0	625.467
los	None	dead	0.0	0.0	0.0
hgt	895	GCA.000739515.1.Bacteria.Moduliflexota	1810.42	0.0	905.21
los	None	dead	0.0	0.0	0.0
