event	left_node	right_node	hgt_id	left_date	right_date	midpoint_date
spe	649	648	NA	2098.745	2020.585	2059.665
spe	648	562	NA	2020.585	1844.995	1932.79
los	562	561	NA	1844.995	1768.445	1806.72
spe	562	546	NA	1844.995	1417.275	1631.135
los	546	GCA.002747435.1.Bacteria.Proteobacteria	NA	1417.275	0.0	708.6375
spe	648	647	NA	2020.585	1948.805	1984.695
spe	647	571	NA	1948.805	1706.635	1827.72
spe	571	570	NA	1706.635	1535.435	1621.035
hgt origin	570	568	1: 568 to GCA.002451085.1.Bacteria.Proteobacteria	1535.435	1379.435	1457.435
hgt	529	GCA.002451085.1.Bacteria.Proteobacteria	1: 568 to GCA.002451085.1.Bacteria.Proteobacteria	1606.235	0.0	803.1175
los	570	568	NA	1535.435	1379.435	1457.435
hgt origin	570	GCA.002255365.1.Bacteria.Proteobacteria	2: GCA.002255365.1.Bacteria.Proteobacteria to GCA.001735895.1.Bacteria.Proteobacteria	1535.435	0.0	767.7175
hgt	560	GCA.001735895.1.Bacteria.Proteobacteria	2: GCA.002255365.1.Bacteria.Proteobacteria to GCA.001735895.1.Bacteria.Proteobacteria	1588.765	0.0	794.3825
spe	571	565	NA	1706.635	1414.39	1560.5125
hgt origin	565	GCF.000239355.1.Bacteria.Proteobacteria	3: GCF.000239355.1.Bacteria.Proteobacteria to GCF.002109495.1.Bacteria.Proteobacteria	1414.39	0.0	707.195
hgt	519	GCF.002109495.1.Bacteria.Proteobacteria	3: GCF.000239355.1.Bacteria.Proteobacteria to GCF.002109495.1.Bacteria.Proteobacteria	2611.035	0.0	1305.5175
los	565	GCF.000239355.1.Bacteria.Proteobacteria	NA	1414.39	0.0	707.195
spe	647	646	NA	1948.805	1902.685	1925.745
hgt origin	646	588	4: 588 to dead	1902.685	1773.33	1838.0075
hgt	None	dead	4: 588 to dead	0.0	0.0	0.0
hgt origin	None	dead	5: dead to GCA.002085445.1.Bacteria.Proteobacteria	0.0	0.0	0.0
hgt	603	GCA.002085445.1.Bacteria.Proteobacteria	5: dead to GCA.002085445.1.Bacteria.Proteobacteria	1696.92	0.0	848.46
los	None	dead	NA	0.0	0.0	0.0
hgt origin	646	588	6: 588 to dead	1902.685	1773.33	1838.0075
hgt	None	dead	6: 588 to dead	0.0	0.0	0.0
hgt origin	None	-1	7: -1 to GCF.900142435.1.Bacteria.Aquificota	0.0	0.0	0.0
hgt	1076	GCF.900142435.1.Bacteria.Aquificota	7: -1 to GCF.900142435.1.Bacteria.Aquificota	1235.659	0.0	617.8295
hgt origin	None	-1	8: -1 to GCF.000148385.1.Archaea.Thermoproteota	0.0	0.0	0.0
hgt	108	GCF.000148385.1.Archaea.Thermoproteota	8: -1 to GCF.000148385.1.Archaea.Thermoproteota	1863.195	0.0	931.5975
hgt origin	None	dead	9: dead to GCA.003023725.1.Bacteria.Firmicutes.E	0.0	0.0	0.0
hgt	1228	GCA.003023725.1.Bacteria.Firmicutes.E	9: dead to GCA.003023725.1.Bacteria.Firmicutes.E	1712.115	0.0	856.0575
los	None	dead	NA	0.0	0.0	0.0
hgt origin	108	GCF.000148385.1.Archaea.Thermoproteota	10: GCF.000148385.1.Archaea.Thermoproteota to GCF.000011205.1.Archaea.Thermoproteota	1863.195	0.0	931.5975
