event	left_node	right_node	hgt_id	left_date	right_date	midpoint_date
spe	1185	1169	NA	2405.805	2113.35	2259.5775
hgt origin	1169	1145	1: 1145 to dead	2113.35	1788.28	1950.815
hgt	None	dead	1: 1145 to dead	0.0	0.0	0.0
hgt origin	None	-1	2: -1 to GCA.002347645.1.Bacteria.Actinobacteriota	0.0	0.0	0.0
hgt	1178	GCA.002347645.1.Bacteria.Actinobacteriota	2: -1 to GCA.002347645.1.Bacteria.Actinobacteriota	1434.165	0.0	717.0825
hgt origin	None	dead	3: dead to GCA.003151665.1.Bacteria.Dormibacterota	0.0	0.0	0.0
hgt	1396	GCA.003151665.1.Bacteria.Dormibacterota	3: dead to GCA.003151665.1.Bacteria.Dormibacterota	1723.235	0.0	861.6175
los	None	dead	NA	0.0	0.0	0.0
spe	1169	1145	NA	2113.35	1788.28	1950.815
spe	1145	1143	NA	1788.28	1606.47	1697.375
los	1143	GCA.002352645.1.Bacteria.Actinobacteriota	NA	1606.47	0.0	803.235
spe	1143	1141	NA	1606.47	1323.465	1464.9675
los	1141	1140	NA	1323.465	1082.515	1202.99
hgt origin	1169	1168	4: 1168 to dead	2113.35	2012.51	2062.93
hgt	None	dead	4: 1168 to dead	0.0	0.0	0.0
hgt origin	None	dead	5: dead to GCA.002050235.1.Bacteria.Desulfobacterota.B	0.0	0.0	0.0
hgt	791	GCA.002050235.1.Bacteria.Desulfobacterota.B	5: dead to GCA.002050235.1.Bacteria.Desulfobacterota.B	1228.3465	0.0	614.17325
los	None	dead	NA	0.0	0.0	0.0
spe	1169	1168	NA	2113.35	2012.51	2062.93
spe	1168	1167	NA	2012.51	1838.915	1925.7125
spe	1167	1166	NA	1838.915	1480.79	1659.8525
spe	1166	1165	NA	1480.79	1370.47	1425.63
spe	1165	1155	NA	1370.47	1276.115	1323.2925
los	1155	1154	NA	1276.115	976.5785	1126.34675
spe	1165	1164	NA	1370.47	1261.825	1316.1475
los	1164	1160	NA	1261.825	1110.64	1186.2325
spe	1164	1163	NA	1261.825	1087.464	1174.6445
los	1163	GCA.001437855.1.Bacteria.Actinobacteriota	NA	1087.464	0.0	543.732
hgt origin	1167	GCA.002413185.1.Bacteria.Actinobacteriota	6: GCA.002413185.1.Bacteria.Actinobacteriota to dead	1838.915	0.0	919.4575
hgt	None	dead	6: GCA.002413185.1.Bacteria.Actinobacteriota to dead	0.0	0.0	0.0
los	1167	GCA.002413185.1.Bacteria.Actinobacteriota	NA	1838.915	0.0	919.4575
hgt origin	None	dead	7: dead to 1160	0.0	0.0	0.0
hgt	1164	1160	7: dead to 1160	1261.825	1110.64	1186.2325
los	None	dead	NA	0.0	0.0	0.0
spe	1164	1160	NA	1261.825	1110.64	1186.2325
spe	1160	1158	NA	1110.64	987.523	1049.0815
los	1158	GCF.001942305.1.Bacteria.Actinobacteriota	NA	987.523	0.0	493.7615
hgt origin	1168	1148	8: 1148 to dead	2012.51	1487.92	1750.215
hgt	None	dead	8: 1148 to dead	0.0	0.0	0.0
hgt origin	None	-1	9: -1 to GCA.001780165.1.Bacteria.Eisenbacteria	0.0	0.0	0.0
hgt	1020	GCA.001780165.1.Bacteria.Eisenbacteria	9: -1 to GCA.001780165.1.Bacteria.Eisenbacteria	1410.39	0.0	705.195
hgt origin	None	dead	10: dead to GCA.003158755.1.Bacteria.Elusimicrobiota	0.0	0.0	0.0
hgt	239	GCA.003158755.1.Bacteria.Elusimicrobiota	10: dead to GCA.003158755.1.Bacteria.Elusimicrobiota	1336.82	0.0	668.41
los	None	dead	NA	0.0	0.0	0.0
hgt origin	1168	1148	11: 1148 to dead	2012.51	1487.92	1750.215
hgt	None	dead	11: 1148 to dead	0.0	0.0	0.0
hgt origin	None	dead	12: dead to GCA.003138355.1.Bacteria.Actinobacteriota	0.0	0.0	0.0
hgt	1177	GCA.003138355.1.Bacteria.Actinobacteriota	12: dead to GCA.003138355.1.Bacteria.Actinobacteriota	1221.364	0.0	610.682
los	None	dead	NA	0.0	0.0	0.0
hgt origin	1168	1148	13: 1148 to dead	2012.51	1487.92	1750.215
hgt	None	dead	13: 1148 to dead	0.0	0.0	0.0
spe	1168	1148	NA	2012.51	1487.92	1750.215
los	1148	GCA.003021615.1.Bacteria.Actinobacteriota	NA	1487.92	0.0	743.96
hgt origin	None	-1	14: -1 to 1463	0.0	0.0	0.0
hgt	1475	1463	14: -1 to 1463	2249.485	1987.575	2118.53
hgt origin	None	dead	15: dead to GCF.004522215.1.Bacteria.Firmicutes	0.0	0.0	0.0
hgt	1355	GCF.004522215.1.Bacteria.Firmicutes	15: dead to GCF.004522215.1.Bacteria.Firmicutes	1426.77	0.0	713.385
los	None	dead	NA	0.0	0.0	0.0
dup	1355	GCF.004522215.1.Bacteria.Firmicutes	NA	1426.77	0.0	713.385
spe	1475	1463	NA	2249.485	1987.575	2118.53
spe	1463	1457	NA	1987.575	1538.99	1763.2825
hgt origin	1457	GCA.002404055.1.Bacteria.Chloroflexota	16: GCA.002404055.1.Bacteria.Chloroflexota to dead	1538.99	0.0	769.495
hgt	None	dead	16: GCA.002404055.1.Bacteria.Chloroflexota to dead	0.0	0.0	0.0
los	1457	GCA.002404055.1.Bacteria.Chloroflexota	NA	1538.99	0.0	769.495
hgt origin	None	dead	17: dead to GCA.002779825.1.Bacteria.Armatimonadota	0.0	0.0	0.0
hgt	1119	GCA.002779825.1.Bacteria.Armatimonadota	17: dead to GCA.002779825.1.Bacteria.Armatimonadota	1519.685	0.0	759.8425
los	None	dead	NA	0.0	0.0	0.0
hgt origin	1463	1462	18: 1462 to dead	1987.575	1858.705	1923.14
hgt	None	dead	18: 1462 to dead	0.0	0.0	0.0
hgt origin	None	dead	19: dead to 1408	0.0	0.0	0.0
hgt	1412	1408	19: dead to 1408	1749.925	1662.42	1706.1725
los	None	dead	NA	0.0	0.0	0.0
spe	1412	1408	NA	1749.925	1662.42	1706.1725
spe	1408	1402	NA	1662.42	1501.935	1582.1775
los	1402	GCA.002721445.1.Bacteria.Chloroflexota	NA	1501.935	0.0	750.9675
