event	left_node	right_node	hgt_id	left_date	right_date	midpoint_date
spe	1725	1724	NA	3797.605	3674.455	3736.03
spe	1724	1723	NA	3674.455	3369.21	3521.8325
los	1723	1657	NA	3369.21	3016.145	3192.6775
spe	1723	1722	NA	3369.21	3050.45	3209.83
spe	1722	1664	NA	3050.45	2102.73	2576.59
spe	1664	1663	NA	2102.73	1748.05	1925.39
los	1663	GCA.001784555.1.Bacteria.Cyanobacteria	NA	1748.05	0.0	874.025
spe	1664	1660	NA	2102.73	1690.83	1896.78
hgt origin	1660	GCA.003149375.1.Bacteria.Cyanobacteria	1: GCA.003149375.1.Bacteria.Cyanobacteria to dead	1690.83	0.0	845.415
hgt	None	dead	1: GCA.003149375.1.Bacteria.Cyanobacteria to dead	0.0	0.0	0.0
hgt origin	None	dead	2: dead to 167	0.0	0.0	0.0
hgt	168	167	2: dead to 167	1389.275	1219.565	1304.42
los	None	dead	NA	0.0	0.0	0.0
spe	168	167	NA	1389.275	1219.565	1304.42
hgt origin	167	GCA.000004985.1.Eukaryota.Heterolobosea	3: GCA.000004985.1.Eukaryota.Heterolobosea to GCA.000189635.1.Eukaryota.Ciliophora	1219.565	0.0	609.7825
hgt	170	GCA.000189635.1.Eukaryota.Ciliophora	3: GCA.000004985.1.Eukaryota.Heterolobosea to GCA.000189635.1.Eukaryota.Ciliophora	1645.265	0.0	822.6325
spe	167	166	NA	1219.565	946.8465	1083.20575
spe	166	165	NA	946.8465	694.719	820.78275
hgt origin	1660	GCA.900313115.1.Bacteria.Cyanobacteria	4: GCA.900313115.1.Bacteria.Cyanobacteria to 966	1690.83	0.0	845.415
hgt	967	966	4: GCA.900313115.1.Bacteria.Cyanobacteria to 966	1879.385	1606.29	1742.8375
los	1660	GCA.900313115.1.Bacteria.Cyanobacteria	NA	1690.83	0.0	845.415
hgt origin	967	966	5: 966 to dead	1879.385	1606.29	1742.8375
hgt	None	dead	5: 966 to dead	0.0	0.0	0.0
hgt origin	None	dead	6: dead to GCA.002449765.1.Bacteria.Fibrobacterota	0.0	0.0	0.0
hgt	930	GCA.002449765.1.Bacteria.Fibrobacterota	6: dead to GCA.002449765.1.Bacteria.Fibrobacterota	1300.89	0.0	650.445
los	None	dead	NA	0.0	0.0	0.0
spe	967	966	NA	1879.385	1606.29	1742.8375
hgt origin	966	GCA.003167015.1.Bacteria.Bacteroidota	7: GCA.003167015.1.Bacteria.Bacteroidota to GCA.001769385.1.Bacteria.Bacteroidota	1606.29	0.0	803.145
hgt	961	GCA.001769385.1.Bacteria.Bacteroidota	7: GCA.003167015.1.Bacteria.Bacteroidota to GCA.001769385.1.Bacteria.Bacteroidota	860.4425	0.0	430.22125
hgt origin	966	GCA.003167015.1.Bacteria.Bacteroidota	8: GCA.003167015.1.Bacteria.Bacteroidota to GCA.001797335.1.Bacteria.Bdellovibrionota.E	1606.29	0.0	803.145
hgt	775	GCA.001797335.1.Bacteria.Bdellovibrionota.E	8: GCA.003167015.1.Bacteria.Bacteroidota to GCA.001797335.1.Bacteria.Bdellovibrionota.E	1721.205	0.0	860.6025
spe	966	965	NA	1606.29	1429.675	1517.9825
hgt origin	965	964	9: 964 to GCA.002796325.1.Bacteria.UBA10199	1429.675	1306.425	1368.05
hgt	767	GCA.002796325.1.Bacteria.UBA10199	9: 964 to GCA.002796325.1.Bacteria.UBA10199	1475.25	0.0	737.625
los	965	964	NA	1429.675	1306.425	1368.05
spe	965	955	NA	1429.675	1277.41	1353.5425
hgt origin	955	GCA.001769655.1.Bacteria.Bacteroidota	10: GCA.001769655.1.Bacteria.Bacteroidota to GCA.002382525.1.Bacteria.Verrucomicrobiota	1277.41	0.0	638.705
hgt	288	GCA.002382525.1.Bacteria.Verrucomicrobiota	10: GCA.001769655.1.Bacteria.Bacteroidota to GCA.002382525.1.Bacteria.Verrucomicrobiota	1496.535	0.0	748.2675
los	955	GCA.001769655.1.Bacteria.Bacteroidota	NA	1277.41	0.0	638.705
hgt origin	288	GCA.002382525.1.Bacteria.Verrucomicrobiota	11: GCA.002382525.1.Bacteria.Verrucomicrobiota to GCA.002429065.1.Bacteria.Verrucomicrobiota	1496.535	0.0	748.2675
hgt	293	GCA.002429065.1.Bacteria.Verrucomicrobiota	11: GCA.002382525.1.Bacteria.Verrucomicrobiota to GCA.002429065.1.Bacteria.Verrucomicrobiota	1595.865	0.0	797.9325
dup	293	GCA.002429065.1.Bacteria.Verrucomicrobiota	NA	1595.865	0.0	797.9325
hgt origin	1722	1721	12: 1721 to dead	3050.45	2916.245	2983.3475
hgt	None	dead	12: 1721 to dead	0.0	0.0	0.0
spe	1722	1721	NA	3050.45	2916.245	2983.3475
los	1721	1667	NA	2916.245	2112.65	2514.4475
hgt origin	1721	1720	13: 1720 to dead	2916.245	2510.455	2713.35
hgt	None	dead	13: 1720 to dead	0.0	0.0	0.0
hgt origin	None	dead	14: dead to 1168	0.0	0.0	0.0
hgt	1169	1168	14: dead to 1168	2113.35	2012.51	2062.93
los	None	dead	NA	0.0	0.0	0.0
spe	1169	1168	NA	2113.35	2012.51	2062.93
spe	1168	1148	NA	2012.51	1487.92	1750.215
los	1148	GCA.003021615.1.Bacteria.Actinobacteriota	NA	1487.92	0.0	743.96
spe	1168	1167	NA	2012.51	1838.915	1925.7125
los	1167	GCA.002413185.1.Bacteria.Actinobacteriota	NA	1838.915	0.0	919.4575
spe	1167	1166	NA	1838.915	1480.79	1659.8525
spe	1166	1165	NA	1480.79	1370.47	1425.63
spe	1165	1164	NA	1370.47	1261.825	1316.1475
spe	1164	1163	NA	1261.825	1087.464	1174.6445
los	1163	GCA.001437855.1.Bacteria.Actinobacteriota	NA	1087.464	0.0	543.732
spe	1164	1160	NA	1261.825	1110.64	1186.2325
los	1160	GCF.000015025.1.Bacteria.Actinobacteriota	NA	1110.64	0.0	555.32
spe	1160	1158	NA	1110.64	987.523	1049.0815
spe	1165	1155	NA	1370.47	1276.115	1323.2925
spe	1155	1154	NA	1276.115	976.5785	1126.34675
los	1154	GCF.001591405.1.Bacteria.Actinobacteria	NA	976.5785	0.0	488.28925
