event	left_node	right_node	left_date	right_date	midpoint_date
spe	1728	1727	0.0	3922.83	1961.415
spe	1727	189	3922.83	3225.865	3574.3475
hgt	None	dead	0.0	0.0	0.0
los	189	185	3225.865	3017.615	3121.74
hgt	832	GCA.002721815.1.Bacteria.Myxococcota	1444.88	0.0	722.44
los	None	dead	0.0	0.0	0.0
spe	189	188	3225.865	2641.665	2933.765
hgt	74	GCA.002011165.1.Archaea.Halobacteriota	1616.7	0.0	808.35
los	188	GCA.002869225.1.Bacteria.Muirbacteria	2641.665	0.0	1320.8325
dup	1727	1726	3922.83	3874.525	3898.6775
hgt	None	dead	0.0	0.0	0.0
dup	None	dead	0.0	0.0	0.0
hgt	720	GCA.002347965.1.Bacteria.UBA2233	1930.555	0.0	965.2775
los	None	dead	0.0	0.0	0.0
hgt	670	669	2196.425	1665.14	1930.7825
los	None	dead	0.0	0.0	0.0
spe	670	669	2196.425	1665.14	1930.7825
hgt	949	GCA.001872685.1.Bacteria.Marinisomatota	1478.665	0.0	739.3325
spe	669	668	1665.14	1417.72	1541.43
hgt	390	GCA.002780065.1.Bacteria.UBA8481	3029.745	0.0	1514.8725
hgt	935	GCA.001789205.1.Bacteria.Fibrobacterota	1990.115	0.0	995.0575
los	668	GCA.002010665.1.Bacteria.Acidobacteriota	1417.72	0.0	708.86
dup	1727	1726	3922.83	3874.525	3898.6775
spe	1727	1726	3922.83	3874.525	3898.6775
spe	1726	1094	3874.525	3784.185	3829.355
spe	1094	1048	3784.185	3607.975	3696.08
los	1048	278	3607.975	3314.9	3461.4375
spe	1048	1047	3607.975	3589.185	3598.58
spe	1047	365	3589.185	3304.24	3446.7125
hgt	834	GCA.001798605.1.Bacteria.Myxococcota	1729.09	0.0	864.545
los	365	GCA.001730085.1.Bacteria.GCA.001730085	3304.24	0.0	1652.12
spe	365	364	3304.24	3193.95	3249.095
hgt	None	dead	0.0	0.0	0.0
los	364	316	3193.95	2939.28	3066.615
hgt	812	GCA.002863065.1.Bacteria.Myxococcota	1516.905	0.0	758.4525
los	None	dead	0.0	0.0	0.0
hgt	397	GCF.000526155.1.Bacteria.Desulfobacterota	2713.19	0.0	1356.595
spe	364	363	3193.95	2735.485	2964.7175
spe	363	362	2735.485	2549.525	2642.505
los	362	361	2549.525	2372.945	2461.235
spe	362	342	2549.525	2350.185	2449.855
spe	342	341	2350.185	2081.9	2216.0425
hgt	866	GCA.003194485.1.Bacteria.Desulfobacterota	1297.81	0.0	648.905
los	341	GCA.003170085.1.Bacteria.Planctomycetota	2081.9	0.0	1040.95
spe	341	340	2081.9	1767.265	1924.5825
los	340	339	1767.265	1559.885	1663.575
spe	340	334	1767.265	1547.105	1657.185
los	334	332	1547.105	1114.632	1330.8685
spe	342	328	2350.185	1867.775	2108.98
hgt	1145	GCA.001767695.1.Bacteria.Actinobacteriota	1788.28	0.0	894.14
los	328	327	1867.775	1556.09	1711.9325
hgt	804	GCA.002731275.1.Bacteria.Myxococcota	1824.305	0.0	912.1525
hgt	1721	1720	2916.245	2510.455	2713.35
spe	363	321	2735.485	2381.485	2558.485
hgt	None	dead	0.0	0.0	0.0
hgt	1119	GCF.002973605.1.Bacteria.Armatimonadota	1519.685	0.0	759.8425
los	None	dead	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0
hgt	1106	GCA.003134215.1.Bacteria.Armatimonadota	1340.34	0.0	670.17
los	None	dead	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0
los	321	320	2381.485	2045.545	2213.515
hgt	977	GCA.001567195.1.Bacteria.Bacteroidota	1110.455	0.0	555.2275
los	None	dead	0.0	0.0	0.0
spe	1721	1720	2916.245	2510.455	2713.35
spe	1720	1719	2510.455	2371.88	2441.1675
los	1719	GCF.000013205.1.Bacteria.Cyanobacteria	2371.88	0.0	1185.94
spe	1719	1718	2371.88	2232.24	2302.06
los	1718	1717	2232.24	2064.395	2148.3175
spe	1718	1704	2232.24	2105.22	2168.73
los	1704	1672	2105.22	1717.695	1911.4575
spe	1704	1703	2105.22	2001.35	2053.285
spe	1703	1679	2001.35	1509.135	1755.2425
los	1679	1678	1509.135	796.3525	1152.74375
dup	1703	1702	2001.35	1938.175	1969.7625
spe	1703	1702	2001.35	1938.175	1969.7625
hgt	1672	GCF.002251945.1.Bacteria.Cyanobacteria	1717.695	0.0	858.8475
los	1702	GCF.003838225.1.Bacteria.Cyanobacteria	1938.175	0.0	969.0875
dup	1702	1701	1938.175	1887.235	1912.705
spe	1702	1701	1938.175	1887.235	1912.705
los	1701	1685	1887.235	1635.52	1761.3775
spe	1701	1700	1887.235	1825.65	1856.4425
spe	1700	1688	1825.65	1436.775	1631.2125
spe	1700	1699	1825.65	1773.275	1799.4625
los	1699	GCF.000317045.1.Bacteria.Cyanobacteria	1773.275	0.0	886.6375
spe	1699	1698	1773.275	1634.795	1704.035
los	1698	1692	1634.795	34.435	834.615
spe	1698	1697	1634.795	920.2075	1277.50125
hgt	None	dead	0.0	0.0	0.0
hgt	1678	GCF.000017845.1.Bacteria.Cyanobacteria	796.3525	0.0	398.17625
los	None	dead	0.0	0.0	0.0
spe	1697	1695	920.2075	795.37	857.78875
spe	1702	1701	1938.175	1887.235	1912.705
spe	1701	1685	1887.235	1635.52	1761.3775
los	1685	GCF.000018105.1.Bacteria.Cyanobacteria	1635.52	0.0	817.76
spe	1685	1684	1635.52	1444.79	1540.155
los	1684	GCA.001698445.1.Bacteria.Cyanobacteria	1444.79	0.0	722.395
spe	1701	1700	1887.235	1825.65	1856.4425
los	1700	1688	1825.65	1436.775	1631.2125
spe	1700	1699	1825.65	1773.275	1799.4625
los	1699	1698	1773.275	1634.795	1704.035
spe	1703	1702	2001.35	1938.175	1969.7625
spe	1702	1701	1938.175	1887.235	1912.705
los	1701	1700	1887.235	1825.65	1856.4425
spe	1701	1685	1887.235	1635.52	1761.3775
spe	1685	1684	1635.52	1444.79	1540.155
los	1684	GCF.000316115.1.Bacteria.Cyanobacteria	1444.79	0.0	722.395
hgt	804	GCA.003247575.1.Bacteria.Myxococcota.A	1824.305	0.0	912.1525
hgt	274	GCA.002687025.1.Bacteria.Poribacteria	1625.32	0.0	812.66
spe	1047	1046	3589.185	3513.075	3551.13
spe	1046	1045	3513.075	3138.485	3325.78
los	1045	921	3138.485	2815.65	2977.0675
spe	1045	1044	3138.485	2889.865	3014.175
spe	1044	1043	2889.865	2806.545	2848.205
los	1043	1042	2806.545	2551.86	2679.2025
spe	1043	1011	2806.545	2645.585	2726.065
spe	1011	997	2645.585	2454.92	2550.2525
los	997	996	2454.92	2366.93	2410.925
spe	997	941	2454.92	2102.37	2278.645
los	941	GCA.003477045.1.Bacteria.Delongbacteria	2102.37	0.0	1051.185
spe	941	940	2102.37	1607.495	1854.9325
los	940	GCA.002127415.1.Bacteria.AABM5.125.24	1607.495	0.0	803.7475
spe	1011	1010	2645.585	2376.435	2511.01
los	1010	1000	2376.435	1584.42	1980.4275
spe	1010	1009	2376.435	1942.745	2159.59
los	1009	GCA.003105265.1.Bacteria.Zixibacteria	1942.745	0.0	971.3725
spe	1009	1008	1942.745	1720.66	1831.7025
los	1008	GCA.000447245.1.Bacteria.Zixibacteria	1720.66	0.0	860.33
spe	1008	1006	1720.66	1512.585	1616.6225
los	1006	GCA.001302725.1.Bacteria.Zixibacteria	1512.585	0.0	756.2925
spe	1006	1004	1512.585	1319.595	1416.09
spe	1044	936	2889.865	2638.5	2764.1825
hgt	None	dead	0.0	0.0	0.0
los	936	935	2638.5	1990.115	2314.3075
hgt	1141	GCA.003140175.1.Bacteria.Actinobacteriota	1323.465	0.0	661.7325
los	None	dead	0.0	0.0	0.0
spe	936	926	2638.5	2022.635	2330.5675
hgt	817	813	1835.155	1676.35	1755.7525
spe	926	924	2022.635	1568.375	1795.505
hgt	1473	GCA.001443375.1.Bacteria.Chloroflexota	1294.4735	0.0	647.23675
hgt	1180	GCF.001029505.1.Bacteria.Actinobacteriota	1876.995	0.0	938.4975
los	924	GCA.003221825.1.Bacteria.Gemmatimonadota	1568.375	0.0	784.1875
hgt	1167	1166	1838.915	1480.79	1659.8525
spe	817	813	1835.155	1676.35	1755.7525
spe	813	812	1676.35	1516.905	1596.6275
los	812	GCA.002863065.1.Bacteria.Myxococcota	1516.905	0.0	758.4525
spe	812	811	1516.905	1313.225	1415.065
los	811	GCA.002726535.1.Bacteria.Myxococcota	1313.225	0.0	656.6125
spe	813	807	1676.35	1389.97	1533.16
los	807	GCA.002789955.1.Bacteria.Myxococcota	1389.97	0.0	694.985
spe	1167	1166	1838.915	1480.79	1659.8525
spe	1166	1165	1480.79	1370.47	1425.63
spe	1165	1164	1370.47	1261.825	1316.1475
los	1164	1163	1261.825	1087.464	1174.6445
spe	1164	1160	1261.825	1110.64	1186.2325
spe	1160	1158	1110.64	987.523	1049.0815
los	1158	GCF.001942305.1.Bacteria.Actinobacteriota	987.523	0.0	493.7615
spe	1165	1155	1370.47	1276.115	1323.2925
spe	1155	1154	1276.115	976.5785	1126.34675
los	1154	GCF.001591405.1.Bacteria.Actinobacteria	976.5785	0.0	488.28925
hgt	1338	1337	1549.595	1365.895	1457.745
