genome_name	genome	taxonomy	K03639	K20967	K03637	K03635	K21142	K03831	K03638	K15376	K03750	K07141	K13818	K03752	K03636	K21232	K04487	K21028	K11996	K21029	K21147	K15631	K20625	K08356	K08351	K16964	K07306	K10700	K22341	K22516	K22015	K05299	K00123	K08348	K18558	K00201	K02567	K00367	K00370	K00372	K03934	K18361	K08352	K23302	K24713	K17050	K21307	K17219	K07812	K07811	K08357	K07309	K07147	K10534	K05301	K00387	K17225	K03738	K11389	K19515	K00157	K09842	K12528	K03520	K11817	K22417	K04108	K24716	K16877	K19187	K18020	K19820	K20171	K07303	K07469	K20447	K20448	K13482	K00106	K11177	K00087	K18030	K02588	K02586	K02591	K22896	K22897	K22898	K22899	K00531	K02587	K02592	K02585	K00947	K15790	K02018	K02017	K02020	K15496	K15497	K15495	K05773	K06857	K05772
Archaea_Crenarchaeota_Thermoprotei_Acidilobales_Acidilobaceae_Acidilobus_saccharovorans_345_15_chromosome	GCA_000144915.1	Crenarchaeota	2.0000000000000002e-77		3.1e-51		4e-58		5.5e-43		2.4e-131			2.8e-23	1.7e-16					1.1e-82												0.0																					3.2e-22					2.9e-192	5.799999999999999e-242																																							2.7e-07	1.0000000000000001e-77	1.4999999999999998e-89	5.3e-63			
Archaea_Crenarchaeota_Thermoprotei_Acidilobales_Caldisphaeraceae_Caldisphaera_lagunensis_IC_154_DSM_15908	GCA_000317795.1	Crenarchaeota	5.6e-77		7.1e-51		1.6e-06		1.5e-37		1.1000000000000002e-129			1.6e-21	2.1e-09					4.1000000000000005e-79												3.2000000000000003e-302																					1.3e-22					7.2e-204	8.7e-244																																								8.800000000000001e-79	4.1e-99	1.6e-65			
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Desulfurococcaceae_Desulfurococcus_fermentans_Z_1312_DSM_16532	GCA_000231015.3	Crenarchaeota	7.6e-81		4.7e-54		7e-38		7.8e-40		6.9e-132	1.1e-43			2.2e-15					2.7000000000000003e-73																																	1.6e-29					2.4999999999999997e-225	6.1000000000000004e-257																						5.9e-223															2.1999999999999998e-38	1.5e-69	4.6e-37				2.3999999999999998e-60	8.8e-60	2.9e-90
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Desulfurococcaceae_Ignicoccus_hospitalis_KIN4I	GCA_000017945.1	Crenarchaeota	2.4e-83		6.7e-51		4.8e-58		4e-45		8.799999999999999e-128				3e-14					1.6e-17										1.8e-87							7.199999999999999e-159						3.8000000000000005e-144															4.4e-166	3.6000000000000003e-231																																					2.8e-58		1.7e-45				1.3e-56	1.5e-44	9e-93
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Desulfurococcaceae_Ignisphaera_aggregans_DSM_17230_chromosome	GCA_000145985.1	Crenarchaeota	1.2e-85		9.3e-50		5.3e-66		2.2e-32		1.5e-96			5.3e-30	1.5e-07		7.8e-129			1.1e-88																2.1e-137							9.6e-109																5.0999999999999995e-255																																											1.1e-64	1.1000000000000002e-59	4.4e-84
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Desulfurococcaceae_Staphylothermus_hellenicus_DSM_12710_chromosome	GCA_000092465.1	Crenarchaeota	3.5000000000000004e-70		3.3e-61		2.1e-14		3.3e-43		8.8e-133	9.7e-51		3.1e-36	2.3e-12					1.4000000000000002e-88										2.7e-284																							6.300000000000001e-32					5.4e-232	1.9e-263																						2.9999999999999996e-225																		1.8e-82	1.0999999999999999e-89	4.2e-96			
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Desulfurococcaceae_Thermogladius_cellulolyticus_1633	GCA_000264495.1	Crenarchaeota	5.4e-84		1.6e-57		3.9e-39		1.1e-33		4.3e-11	1.5e-45			5.1e-11					5.3e-74																																	2e-27					5.3e-198	4.8e-253																						8.6e-227															3.3e-50	4.9e-80	2.4e-35				3.4e-51	3.3e-45	1.3e-81
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Desulfurococcaceae_Thermosphaera_aggregans_DSM_11486_chromosome	GCA_000092185.1	Crenarchaeota	1.6000000000000001e-75		1.2e-59		4.1999999999999995e-40		1.6000000000000002e-35		7.2e-15	4.2e-45			2.7e-10					1.5e-85																																	2.1e-34					3.8e-210	3e-259																						8.6e-222															4e-55	3.3e-74	4.8e-36						
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Pyrodictiaceae_Hyperthermus_butylicus_DSM_5456	GCA_000015145.1	Crenarchaeota	3.4e-71		9.3e-57		6e-41		3.7e-34		3.6e-80			1.2e-19	5.5e-10					2e-83													1.4e-226				3.1e-175						1.7000000000000002e-157										9e-15					1.5e-172																																						2.3e-61		5.3e-56				1.3e-66	7.6e-71	4e-96
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Pyrodictiaceae_Pyrolobus_fumarii_1A_DSM_11204	GCA_000223395.1	Crenarchaeota	2.4e-81		1e-65		4e-06		5.7e-48		3.3e-115			1.7e-28	8.9e-09					1.4e-90										4.6e-168								1.5e-172					1.1999999999999999e-119															1.2000000000000001e-164	2.9000000000000004e-226																																					6.7e-65	1.1000000000000001e-96	9.5e-49				4.5e-62	2.6e-62	1.1e-95
