tips	new_tips
GCA.002327985.1.Bacteria.Desulfobacterota_DCVM01000059.1_27	GCA.002327985.1.Bacteria.Desulfobacterota_1
GCA.002841995.1.Bacteria.Chloroflexota_PHBS01000137.1_5	GCA.002841995.1.Bacteria.Chloroflexota_1
GCF.000266945.1.Bacteria.Desulfobacterota_NC_018025.1_1798	GCF.000266945.1.Bacteria.Desulfobacterota_1
GCF.900104455.1.Bacteria.Firmicutes.C_NZ_FNHB01000009.1_55	GCF.900104455.1.Bacteria.Firmicutes.C_1
GCA.002411145.1.Bacteria.Firmicutes.C_DHRA01000085.1_1	GCA.002411145.1.Bacteria.Firmicutes.C_1
GCA.002411145.1.Bacteria.Firmicutes.C_DHRA01000085.1_3	GCA.002411145.1.Bacteria.Firmicutes.C_2
GCF.002257705.1.Bacteria.Firmicutes.C_NZ_LSLK01000114.1_55	GCF.002257705.1.Bacteria.Firmicutes.C_1
GCF.002257705.1.Bacteria.Firmicutes.C_NZ_LSLK01000110.1_48	GCF.002257705.1.Bacteria.Firmicutes.C_2
GCA.002418835.1.Bacteria.Spirochaetota_DIEX01000031.1_263	GCA.002418835.1.Bacteria.Spirochaetota_1
GCA.001768075.1.Bacteria.Myxococcota_MEMX01000031.1_54	GCA.001768075.1.Bacteria.Myxococcota_1
GCA.002307275.1.Bacteria.Firmicutes.A_DBTX01000002.1_7	GCA.002307275.1.Bacteria.Firmicutes.A_1
GCF.900100785.1.Bacteria.Firmicutes.B_NZ_FNCP01000012.1_123	GCF.900100785.1.Bacteria.Firmicutes.B_1
GCA.002398485.1.Bacteria.Firmicutes.B_DGYV01000029.1_9	GCA.002398485.1.Bacteria.Firmicutes.B_1
GCF.002257705.1.Bacteria.Firmicutes.C_NZ_LSLK01000037.1_23	GCF.002257705.1.Bacteria.Firmicutes.C_3
GCA.002385745.1.Bacteria.Firmicutes.D_DGEC01000023.1_8	GCA.002385745.1.Bacteria.Firmicutes.D_1
GCA.900066305.1.Bacteria.Firmicutes.A_SCH24345.1	GCA.900066305.1.Bacteria.Firmicutes.A_1
GCF.002257705.1.Bacteria.Firmicutes.C_NZ_LSLK01000081.1_5	GCF.002257705.1.Bacteria.Firmicutes.C_4
GCF.002257705.1.Bacteria.Firmicutes.C_NZ_LSLK01000060.1_81	GCF.002257705.1.Bacteria.Firmicutes.C_5
GCF.000266945.1.Bacteria.Desulfobacterota_NC_018025.1_718	GCF.000266945.1.Bacteria.Desulfobacterota_2
GCA.002436065.1.Bacteria.Chloroflexota_DIXP01000038.1_151	GCA.002436065.1.Bacteria.Chloroflexota_1
GCA.002436065.1.Bacteria.Chloroflexota_DIXP01000007.1_8	GCA.002436065.1.Bacteria.Chloroflexota_2
GCA.002436065.1.Bacteria.Chloroflexota_DIXP01000085.1_2	GCA.002436065.1.Bacteria.Chloroflexota_3
GCA.002436065.1.Bacteria.Chloroflexota_DIXP01000007.1_12	GCA.002436065.1.Bacteria.Chloroflexota_4
