tips	new_tips
GCF.000019165.1.Bacteria.Firmicutes.B_NC_010337.2_1816	GCF.000019165.1.Bacteria.Firmicutes.B_1
GCA.000189635.1.Eukaryota.Ciliophora_EAR85069.3	GCA.000189635.1.Eukaryota.Ciliophora_1
GCA.000002865.1.Eukaryota.Choanoflagellata_EDQ90439.1	GCA.000002865.1.Eukaryota.Choanoflagellata_1
GCA.000188695.1.Eukaryota.Choanoflagellata_EGD77219.1	GCA.000188695.1.Eukaryota.Choanoflagellata_1
GCA.000209225.1.Eukaryota.Cnidaria_EDO48528.1	GCA.000209225.1.Eukaryota.Cnidaria_1
GCA.000004985.1.Eukaryota.Heterolobosea_EFC43350.1	GCA.000004985.1.Eukaryota.Heterolobosea_1
GCF.000013205.1.Bacteria.Cyanobacteria_NC_007775.1_2341	GCF.000013205.1.Bacteria.Cyanobacteria_1
GCF.000473895.1.Bacteria.Cyanobacteria_NZ_ASSJ01000055.1_76	GCF.000473895.1.Bacteria.Cyanobacteria_1
GCF.000017845.1.Bacteria.Cyanobacteria_NC_010546.1_2564	GCF.000017845.1.Bacteria.Cyanobacteria_1
GCA.001698445.1.Bacteria.Cyanobacteria_MBRF01000002.1_108	GCA.001698445.1.Bacteria.Cyanobacteria_1
GCF.000317045.1.Bacteria.Cyanobacteria_NC_019703.1_1088	GCF.000317045.1.Bacteria.Cyanobacteria_1
GCF.003838225.1.Bacteria.Cyanobacteria_WP_124144283.1	GCF.003838225.1.Bacteria.Cyanobacteria_1
GCF.000018105.1.Bacteria.Cyanobacteria_NC_009925.1_450	GCF.000018105.1.Bacteria.Cyanobacteria_1
GCF.000353285.1.Bacteria.Cyanobacteria_NZ_KB731324.1_4198	GCF.000353285.1.Bacteria.Cyanobacteria_1
GCF.002251945.1.Bacteria.Cyanobacteria_NZ_NDHW01000045.1_51	GCF.002251945.1.Bacteria.Cyanobacteria_1
GCF.002215035.1.Bacteria.Cyanobacteria_NZ_NKFP01000006.1_3337	GCF.002215035.1.Bacteria.Cyanobacteria_1
GCF.000316115.1.Bacteria.Cyanobacteria_NZ_JH993797.1_4497	GCF.000316115.1.Bacteria.Cyanobacteria_1
GCF.000020025.1.Bacteria.Cyanobacteria_NC_010628.1_2096	GCF.000020025.1.Bacteria.Cyanobacteria_1
Fischerella.muscicola.CCMEE5323_WP_016866838.1	Fischerella.muscicola.CCMEE5323_1
GCF.001870225.1.Bacteria.Cyanobacteria_NZ_CP017675.1_1785	GCF.001870225.1.Bacteria.Cyanobacteria_1
GCF.000484535.1.Bacteria.Cyanobacteria_NC_022600.1_676	GCF.000484535.1.Bacteria.Cyanobacteria_1
GCA.002707085.1.Bacteria.Myxococcota.A_PALY01000118.1_27	GCA.002707085.1.Bacteria.Myxococcota.A_1
GCA.002721815.1.Bacteria.Myxococcota_PBLQ01000070.1_13	GCA.002721815.1.Bacteria.Myxococcota_1
GCA.002728755.1.Bacteria.Myxococcota_PBVT01000042.1_11	GCA.002728755.1.Bacteria.Myxococcota_1
GCA.003152325.1.Bacteria.Acidobacteriota_PLZX01000027.1_16	GCA.003152325.1.Bacteria.Acidobacteriota_1
GCF.001942305.1.Bacteria.Actinobacteriota_NZ_MKKE01000006.1_19	GCF.001942305.1.Bacteria.Actinobacteriota_1
GCF.001591405.1.Bacteria.Actinobacteria_NZ_BCUV01000003.1_24	GCF.001591405.1.Bacteria.Actinobacteria_1
GCF.900106035.1.Bacteria.Actinobacteriota_NZ_FNUC01000004.1_2452	GCF.900106035.1.Bacteria.Actinobacteriota_1
GCF.000384115.1.Bacteria.Actinobacteriota_NZ_KB913029.1_2984	GCF.000384115.1.Bacteria.Actinobacteriota_1
GCF.004348535.1.Bacteria.Actinobacteriota_NZ_SMJX01000313.1_1	GCF.004348535.1.Bacteria.Actinobacteriota_1
GCF.003047285.1.Bacteria.Actinobacteriota_NZ_PZYX01000015.1_38	GCF.003047285.1.Bacteria.Actinobacteriota_1
GCF.000015025.1.Bacteria.Actinobacteriota_NC_008578.1_1813	GCF.000015025.1.Bacteria.Actinobacteriota_1
GCF.003443735.1.Bacteria.Actinobacteriota_NZ_CP031969.1_2682	GCF.003443735.1.Bacteria.Actinobacteriota_1
GCF.000969705.1.Bacteria.Actinobacteriota_NZ_KQ033901.1_3227	GCF.000969705.1.Bacteria.Actinobacteriota_1
GCF.900187885.1.Bacteria.Chloroflexota_NZ_FYEK01000012.1_83	GCF.900187885.1.Bacteria.Chloroflexota_1
GCF.001535965.1.Bacteria.Bacteroidota_NZ_CZVI01000009.1_32	GCF.001535965.1.Bacteria.Bacteroidota_1
GCA.002686955.1.Bacteria.Gemmatimonadota.A_NYZA01000027.1_7	GCA.002686955.1.Bacteria.Gemmatimonadota.A_1
GCA.002898895.1.Bacteria.Armatimonadota_BEHS01000010.1_19	GCA.002898895.1.Bacteria.Armatimonadota_1
GCF.000427095.1.Bacteria.Armatimonadota_NC_021487.1_527	GCF.000427095.1.Bacteria.Armatimonadota_1
GCA.003140235.1.Bacteria.Acidobacteriota_PLJN01000201.1_5	GCA.003140235.1.Bacteria.Acidobacteriota_1
GCA.001800095.1.Bacteria.Elusimicrobiota_MGUT01000058.1_13	GCA.001800095.1.Bacteria.Elusimicrobiota_1
GCA.002763895.1.Bacteria.Bacteroidota_NSLH01000007.1_23	GCA.002763895.1.Bacteria.Bacteroidota_1
GCA.002404095.1.Bacteria.Planctomycetota_DHJA01000284.1_22	GCA.002404095.1.Bacteria.Planctomycetota_1
GCF.001614315.2.Bacteria.Proteobacteria_NZ_LVEG02000001.1_565	GCF.001614315.2.Bacteria.Proteobacteria_1
GCF.000024725.1.Bacteria.Proteobacteria_NC_013960.1_1381	GCF.000024725.1.Bacteria.Proteobacteria_1
GCF.002940605.1.Bacteria.Proteobacteria_WP_128420035.1	GCF.002940605.1.Bacteria.Proteobacteria_1
GCA.002868855.1.Bacteria.Proteobacteria_PKUM01000041.1_28	GCA.002868855.1.Bacteria.Proteobacteria_1
GCA.002007425.1.Bacteria.Proteobacteria_MUGK01000182.1_3	GCA.002007425.1.Bacteria.Proteobacteria_1
GCA.001664505.1.Bacteria.Acidobacteriota_CP011806.1_4315	GCA.001664505.1.Bacteria.Acidobacteriota_1
GCA.001798715.1.Bacteria.UBA10199_MGSF01000060.1_8	GCA.001798715.1.Bacteria.UBA10199_1
GCA.003509045.1.Bacteria.Planctomycetota_DODI01000018.1_4	GCA.003509045.1.Bacteria.Planctomycetota_1
GCA.002440805.1.Bacteria.Chloroflexota_DJVD01000157.1_4	GCA.002440805.1.Bacteria.Chloroflexota_1
GCA.002789955.1.Bacteria.Myxococcota_PFUG01000519.1_31	GCA.002789955.1.Bacteria.Myxococcota_1
GCA.003222815.1.Bacteria.Acidobacteriota_QHXC01000384.1_34	GCA.003222815.1.Bacteria.Acidobacteriota_1
GCA.002699025.1.Bacteria.Myxococcota_PABA01000008.1_98	GCA.002699025.1.Bacteria.Myxococcota_1
