event	left_node	right_node	hgt_id	left_date	right_date	midpoint_date
hgt origin	902	901	1: 901 to dead	3405.845	3300.53	3353.1875
hgt	None	dead	1: 901 to dead	0.0	0.0	0.0
dup	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	2: dead to 1186	0.0	0.0	0.0
hgt	1187	1186	2: dead to 1186	2676.31	2550.565	2613.4375
los	None	dead	NA	0.0	0.0	0.0
spe	1187	1186	NA	2676.31	2550.565	2613.4375
spe	1186	1136	NA	2550.565	1777.3	2163.9325
spe	1186	1185	NA	2550.565	2405.805	2478.185
los	1185	1169	NA	2405.805	2113.35	2259.5775
spe	1185	1184	NA	2405.805	2236.7	2321.2525
spe	1184	1183	NA	2236.7	1581.31	1909.005
los	1183	GCA.000434775.1.Bacteria.Actinobacteriota	NA	1581.31	0.0	790.655
spe	1184	1180	NA	2236.7	1876.995	2056.8475
los	1180	GCF.001029505.1.Bacteria.Actinobacteriota	NA	1876.995	0.0	938.4975
spe	1180	1179	NA	1876.995	1607.105	1742.05
spe	1179	1178	NA	1607.105	1434.165	1520.635
los	1178	1177	NA	1434.165	1221.364	1327.7645
spe	1179	1173	NA	1607.105	1376.77	1491.9375
dup	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	3: dead to GCA.003223995.1.Bacteria.Acidobacteriota	0.0	0.0	0.0
hgt	709	GCA.003223995.1.Bacteria.Acidobacteriota	3: dead to GCA.003223995.1.Bacteria.Acidobacteriota	1397.765	0.0	698.8825
los	None	dead	NA	0.0	0.0	0.0
dup	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	4: dead to GCA.003167155.1.Bacteria.Eremiobacterota	0.0	0.0	0.0
hgt	1098	GCA.003167155.1.Bacteria.Eremiobacterota	4: dead to GCA.003167155.1.Bacteria.Eremiobacterota	1440.925	0.0	720.4625
los	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	5: dead to GCA.002348465.1.Bacteria.Gemmatimonadota	0.0	0.0	0.0
hgt	924	GCA.002348465.1.Bacteria.Gemmatimonadota	5: dead to GCA.002348465.1.Bacteria.Gemmatimonadota	1568.375	0.0	784.1875
los	None	dead	NA	0.0	0.0	0.0
hgt origin	902	901	6: 901 to dead	3405.845	3300.53	3353.1875
hgt	None	dead	6: 901 to dead	0.0	0.0	0.0
hgt origin	None	dead	7: dead to GCA.002436065.1.Bacteria.Chloroflexota	0.0	0.0	0.0
hgt	1462	GCA.002436065.1.Bacteria.Chloroflexota	7: dead to GCA.002436065.1.Bacteria.Chloroflexota	1858.705	0.0	929.3525
los	None	dead	NA	0.0	0.0	0.0
hgt origin	902	901	8: 901 to dead	3405.845	3300.53	3353.1875
hgt	None	dead	8: 901 to dead	0.0	0.0	0.0
spe	902	901	NA	3405.845	3300.53	3353.1875
hgt origin	901	663	9: 663 to dead	3300.53	3210.05	3255.29
hgt	None	dead	9: 663 to dead	0.0	0.0	0.0
dup	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	10: dead to 1233	0.0	0.0	0.0
hgt	1234	1233	10: dead to 1233	1465.43	1196.4	1330.915
los	None	dead	NA	0.0	0.0	0.0
spe	1234	1233	NA	1465.43	1196.4	1330.915
hgt origin	None	dead	11: dead to 249	0.0	0.0	0.0
hgt	250	249	11: dead to 249	1897.72	1764.145	1830.9325
los	None	dead	NA	0.0	0.0	0.0
spe	250	249	NA	1897.72	1764.145	1830.9325
spe	249	248	NA	1764.145	1250.934	1507.5395
los	248	GCA.001800245.1.Bacteria.Elusimicrobiota	NA	1250.934	0.0	625.467
spe	249	245	NA	1764.145	1655.67	1709.9075
los	245	241	NA	1655.67	1455.26	1555.465
spe	245	244	NA	1655.67	1375.91	1515.79
los	244	GCA.001800095.1.Bacteria.Elusimicrobiota	NA	1375.91	0.0	687.955
hgt origin	901	663	12: 663 to dead	3300.53	3210.05	3255.29
hgt	None	dead	12: 663 to dead	0.0	0.0	0.0
dup	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	13: dead to GCA.002367275.1.Bacteria.Chloroflexota	0.0	0.0	0.0
hgt	1419	GCA.002367275.1.Bacteria.Chloroflexota	13: dead to GCA.002367275.1.Bacteria.Chloroflexota	1336.415	0.0	668.2075
los	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	14: dead to 1426	0.0	0.0	0.0
hgt	1427	1426	14: dead to 1426	2216.53	1994.025	2105.2775
los	None	dead	NA	0.0	0.0	0.0
spe	1427	1426	NA	2216.53	1994.025	2105.2775
hgt origin	1426	1425	15: 1425 to dead	1994.025	1783.375	1888.7
hgt	None	dead	15: 1425 to dead	0.0	0.0	0.0
hgt origin	None	dead	16: dead to 1452	0.0	0.0	0.0
hgt	1453	1452	16: dead to 1452	1862.655	1430.125	1646.39
los	None	dead	NA	0.0	0.0	0.0
hgt origin	1453	1452	17: 1452 to dead	1862.655	1430.125	1646.39
hgt	None	dead	17: 1452 to dead	0.0	0.0	0.0
dup	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	18: dead to GCF.001029505.1.Bacteria.Actinobacteriota	0.0	0.0	0.0
hgt	1180	GCF.001029505.1.Bacteria.Actinobacteriota	18: dead to GCF.001029505.1.Bacteria.Actinobacteriota	1876.995	0.0	938.4975
los	None	dead	NA	0.0	0.0	0.0
