tips	new_tips
GCA.002780065.1.Bacteria.UBA8481_PEWQ01000142.1_2	GCA.002780065.1.Bacteria.UBA8481_1
GCA.002399285.1.Bacteria.Firmicutes.A_DHDI01000008.1_25	GCA.002399285.1.Bacteria.Firmicutes.A_1
GCF.900107485.1.Bacteria.Firmicutes.A_NZ_FNQE01000010.1_50	GCF.900107485.1.Bacteria.Firmicutes.A_1
GCA.003527145.1.Bacteria.Firmicutes.A_DPSW01000482.1_1	GCA.003527145.1.Bacteria.Firmicutes.A_1
GCF.002252565.1.Bacteria.Firmicutes.A_NZ_NPML01000019.1_299	GCF.002252565.1.Bacteria.Firmicutes.A_1
GCA.900066305.1.Bacteria.Firmicutes.A_SCH38929.1	GCA.900066305.1.Bacteria.Firmicutes.A_1
GCA.002478485.1.Bacteria.Firmicutes.A_DLOL01000010.1_5	GCA.002478485.1.Bacteria.Firmicutes.A_1
GCA.001800495.1.Bacteria.Elusimicrobiota_MGVM01000001.1_10	GCA.001800495.1.Bacteria.Elusimicrobiota_1
GCA.002307275.1.Bacteria.Firmicutes.A_DBTX01000091.1_27	GCA.002307275.1.Bacteria.Firmicutes.A_1
GCA.002307275.1.Bacteria.Firmicutes.A_DBTX01000068.1_82	GCA.002307275.1.Bacteria.Firmicutes.A_2
GCF.002252565.1.Bacteria.Firmicutes.A_NZ_NPML01000011.1_162	GCF.002252565.1.Bacteria.Firmicutes.A_2
GCF.000178255.1.Bacteria.Firmicutes_WP_006785726.1	GCF.000178255.1.Bacteria.Firmicutes_1
GCF.900104115.1.Bacteria.Firmicutes.A_NZ_FNJM01000005.1_148	GCF.900104115.1.Bacteria.Firmicutes.A_1
GCF.900142265.1.Bacteria.Firmicutes.A_NZ_FRAH01000044.1_10	GCF.900142265.1.Bacteria.Firmicutes.A_1
GCA.001577715.1.Bacteria.Desulfobacterota_KXS56242.1	GCA.001577715.1.Bacteria.Desulfobacterota_1
GCA.003230355.1.Archaea.Hydrothermarchaeota_QIDD01000153.1_4	GCA.003230355.1.Archaea.Hydrothermarchaeota_1
GCA.002841105.1.Archaea.Altiarchaeota_PHDY01000062.1_1	GCA.002841105.1.Archaea.Altiarchaeota_1
GCA.002083985.1.Archaea.Altiarchaeota_MTER01000111.1_5	GCA.002083985.1.Archaea.Altiarchaeota_1
GCA.002428295.1.Bacteria.Caldisericota_DIVS01000013.1_12	GCA.002428295.1.Bacteria.Caldisericota_1
GCA.001742785.1.Archaea.Altiarchaeota_MCBF01000001.1_102	GCA.001742785.1.Archaea.Altiarchaeota_1
GCA.002494765.1.Archaea.Thermoplasmatota_DACJ01000029.1_17	GCA.002494765.1.Archaea.Thermoplasmatota_1
GCA.003034855.1.Archaea.Halobacteriota_PZKD01000048.1_9	GCA.003034855.1.Archaea.Halobacteriota_1
GCA.001723855.1.Archaea.Altiarchaeota_MCBC01000050.1_10	GCA.001723855.1.Archaea.Altiarchaeota_1
GCA.001515205.2.Archaea.Hadarchaeota_LQMQ01000028.1_3	GCA.001515205.2.Archaea.Hadarchaeota_1
GCA.002255025.1.Archaea.Thermoproteota_NJEJ01000011.1_24	GCA.002255025.1.Archaea.Thermoproteota_1
GCA.001593875.1.Archaea.Thermoproteota_LUCA01000070.1_5	GCA.001593875.1.Archaea.Thermoproteota_1
GCA.001774245.1.Archaea.Thermoproteota_MEZF01000047.1_48	GCA.001774245.1.Archaea.Thermoproteota_1
GCA.001593865.1.Archaea.Thermoproteota_LUCB01000005.1_39	GCA.001593865.1.Archaea.Thermoproteota_1
GCA.001717025.1.Archaea.Thermoproteota_MAGU01000032.1_4	GCA.001717025.1.Archaea.Thermoproteota_1
GCA.001940665.1.Archaea.Asgardarchaeota_MDVT01000007.1_355	GCA.001940665.1.Archaea.Asgardarchaeota_1
GCA.001593855.1.Archaea.Thermoproteota_LUCC01000002.1_25	GCA.001593855.1.Archaea.Thermoproteota_1
GCA.001775995.1.Archaea.Thermoproteota_MEZH01000014.1_12	GCA.001775995.1.Archaea.Thermoproteota_1
GCA.001273335.1.Archaea.Thermoproteota_LFWV01000022.1_14	GCA.001273335.1.Archaea.Thermoproteota_1
GCA.002011075.1.Archaea.Thermoproteota_MTMA01000002.1_249	GCA.002011075.1.Archaea.Thermoproteota_1
GCA.002011085.1.Archaea.Thermoproteota_MTMB01000002.1_184	GCA.002011085.1.Archaea.Thermoproteota_1
