genome_name	genome	taxonomy	moco_synthesis	dmso_red_fam_a	so_fam_a	aor_fam	xo_fam_c	mo_n_fix	alt_n_fix	femoco_synthesis	mo_storage	mo_traffick	mo_transport	mo_w_transport	w_transport
Archaea_Crenarchaeota_Thermoprotei_Acidilobales_Acidilobaceae_Acidilobus_saccharovorans_345_15_chromosome	GCA_000144915.1	Crenarchaeota	10	2	1	5	0	0	0	0	0	0	0	3	0
Archaea_Crenarchaeota_Thermoprotei_Acidilobales_Caldisphaeraceae_Caldisphaera_lagunensis_IC_154_DSM_15908	GCA_000317795.1	Crenarchaeota	9	2	1	4	0	0	0	0	0	0	0	3	0
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Desulfurococcaceae_Desulfurococcus_fermentans_Z_1312_DSM_16532	GCA_000231015.3	Crenarchaeota	15	0	1	3	3	0	0	0	0	0	3	0	3
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Desulfurococcaceae_Ignicoccus_hospitalis_KIN4I	GCA_000017945.1	Crenarchaeota	10	3	0	3	0	0	0	0	0	0	2	0	3
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Desulfurococcaceae_Ignisphaera_aggregans_DSM_17230_chromosome	GCA_000145985.1	Crenarchaeota	10	2	0	1	0	0	0	0	0	0	0	0	3
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Desulfurococcaceae_Staphylothermus_hellenicus_DSM_12710_chromosome	GCA_000092465.1	Crenarchaeota	14	1	1	4	1	0	0	0	0	0	0	3	0
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Desulfurococcaceae_Thermogladius_cellulolyticus_1633	GCA_000264495.1	Crenarchaeota	12	0	1	2	3	0	0	0	0	0	3	0	3
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Desulfurococcaceae_Thermosphaera_aggregans_DSM_11486_chromosome	GCA_000092185.1	Crenarchaeota	11	0	1	4	1	0	0	0	0	0	3	0	0
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Pyrodictiaceae_Hyperthermus_butylicus_DSM_5456	GCA_000015145.1	Crenarchaeota	10	3	1	4	0	0	0	0	0	0	2	0	3
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Pyrodictiaceae_Pyrolobus_fumarii_1A_DSM_11204	GCA_000223395.1	Crenarchaeota	12	4	0	3	0	0	0	0	0	0	3	0	3
