tips	new_tips
GCA.002840095.1.Bacteria.Proteobacteria_PGZL01000011.1_23	GCA.002840095.1.Bacteria.Proteobacteria_1
GCF.000011205.1.Archaea.Thermoproteota_NC_003106.2_2117	GCF.000011205.1.Archaea.Thermoproteota_1
GCF.000148385.1.Archaea.Thermoproteota_NC_014537.1_2187	GCF.000148385.1.Archaea.Thermoproteota_1
GCF.900142435.1.Bacteria.Aquificota_NZ_LT670846.1_886	GCF.900142435.1.Bacteria.Aquificota_1
GCA.003023725.1.Bacteria.Firmicutes.E_PXYT01000004.1_4	GCA.003023725.1.Bacteria.Firmicutes.E_1
GCA.002386945.1.Bacteria.Proteobacteria_DGKH01000031.1_10	GCA.002386945.1.Bacteria.Proteobacteria_1
GCF.900112605.1.Bacteria.Proteobacteria_NZ_FOMJ01000006.1_54	GCF.900112605.1.Bacteria.Proteobacteria_1
GCF.001399755.1.Bacteria.Proteobacteria_NZ_LJCP01000007.1_226	GCF.001399755.1.Bacteria.Proteobacteria_1
GCA.002722885.1.Bacteria.Proteobacteria_PBNE01000014.1_330	GCA.002722885.1.Bacteria.Proteobacteria_1
GCA.002721365.1.Bacteria.Proteobacteria_PBKC01000027.1_7	GCA.002721365.1.Bacteria.Proteobacteria_1
GCF.002798435.1.Bacteria.Proteobacteria_WP_206419742.1	GCF.002798435.1.Bacteria.Proteobacteria_1
GCA.002457765.1.Bacteria.Proteobacteria_NTKW01000026.1_19	GCA.002457765.1.Bacteria.Proteobacteria_1
GCA.002348365.1.Bacteria.Proteobacteria_DEBC01000002.1_31	GCA.002348365.1.Bacteria.Proteobacteria_1
GCF.001697225.1.Bacteria.Proteobacteria_NZ_CP014671.1_2433	GCF.001697225.1.Bacteria.Proteobacteria_1
GCF.900172325.1.Bacteria.Proteobacteria_NZ_FWFR01000004.1_256	GCF.900172325.1.Bacteria.Proteobacteria_1
GCF.900102465.1.Bacteria.Proteobacteria_NZ_FNBW01000002.1_42	GCF.900102465.1.Bacteria.Proteobacteria_1
GCA.003280605.1.Bacteria.Proteobacteria_QCEM01000078.1_4	GCA.003280605.1.Bacteria.Proteobacteria_1
GCF.002148795.1.Bacteria.Proteobacteria_NZ_MPOB01000006.1_203	GCF.002148795.1.Bacteria.Proteobacteria_1
GCF.003258945.1.Bacteria.Proteobacteria_NZ_QLIX01000016.1_95	GCF.003258945.1.Bacteria.Proteobacteria_1
GCA.002348425.1.Bacteria.Proteobacteria_DEBE01000073.1_12	GCA.002348425.1.Bacteria.Proteobacteria_1
GCA.003228965.1.Bacteria.Proteobacteria_QIGP01000231.1_1	GCA.003228965.1.Bacteria.Proteobacteria_1
GCA.001872725.1.Bacteria.Proteobacteria_MNWR01000109.1_13	GCA.001872725.1.Bacteria.Proteobacteria_1
GCA.002450905.1.Bacteria.Spirochaetota_DKAT01000062.1_35	GCA.002450905.1.Bacteria.Spirochaetota_1
GCA.002085445.1.Bacteria.Proteobacteria_NBMI01000015.1_1	GCA.002085445.1.Bacteria.Proteobacteria_1
GCF.002958735.1.Bacteria.Proteobacteria_NZ_PPGH01000037.1_12	GCF.002958735.1.Bacteria.Proteobacteria_1
GCA.001735895.1.Bacteria.Proteobacteria_DS021198.1_1029	GCA.001735895.1.Bacteria.Proteobacteria_1
GCF.002109495.1.Bacteria.Proteobacteria_NZ_LVJN01000019.1_521	GCF.002109495.1.Bacteria.Proteobacteria_1
GCA.002255365.1.Bacteria.Proteobacteria_NCBI01000003.1_100	GCA.002255365.1.Bacteria.Proteobacteria_1
GCA.002451085.1.Bacteria.Proteobacteria_DKBE01000097.1_4	GCA.002451085.1.Bacteria.Proteobacteria_1
GCF.000021985.1.Bacteria.Proteobacteria_NC_011901.1_340	GCF.000021985.1.Bacteria.Proteobacteria_1
GCF.002020875.1.Bacteria.Proteobacteria_WP_078482416.1	GCF.002020875.1.Bacteria.Proteobacteria_1
